AAAA,AAAB,AABB,ABBB,BBBB,all,x
1.5711468313608998e-05,0.0,0.0,0.0,1.5711468313608998e-05,3.1422936627217996e-05,0.01900000000000001
1.817906749794587e-05,0.0,0.0,0.0,1.817906749794587e-05,3.635813499589174e-05,0.02000000000000001
2.0876858301372363e-05,0.0,0.0,0.0,2.0876858301372363e-05,4.1753716602744725e-05,0.02100000000000001
2.381227809752848e-05,0.0,0.0,0.0,2.381227809752848e-05,4.762455619505696e-05,0.022000000000000013
2.6992434467091015e-05,0.0,0.0,0.0,2.6992434467091015e-05,5.398486893418203e-05,0.023000000000000013
3.042411240007743e-05,0.0,0.0,0.0,3.042411240007743e-05,6.084822480015486e-05,0.024000000000000014
3.41137813782493e-05,0.0,0.0,0.0,3.41137813782493e-05,6.82275627564986e-05,0.025000000000000015
3.8067602339330845e-05,0.0,0.0,0.0,3.8067602339330845e-05,7.613520467866169e-05,0.026000000000000016
4.229143452473528e-05,0.0,0.0,0.0,4.229143452473528e-05,8.458286904947055e-05,0.027000000000000017
4.6790842212470226e-05,0.0,0.0,0.0,4.6790842212470226e-05,9.358168442494045e-05,0.028000000000000018
5.157110133687132e-05,0.0,0.0,0.0,5.157110133687132e-05,0.00010314220267374264,0.02900000000000002
5.6637205996791944e-05,0.0,0.0,0.0,5.6637205996791944e-05,0.00011327441199358389,0.03000000000000002
6.19938748538559e-05,0.0,0.0,0.0,6.19938748538559e-05,0.0001239877497077118,0.03100000000000002
6.764555742235851e-05,0.0,0.0,0.0,6.764555742235851e-05,0.00013529111484471702,0.03200000000000002
7.359644025238159e-05,0.0,0.0,0.0,7.359644025238159e-05,0.00014719288050476319,0.03300000000000002
7.985045300766677e-05,0.0,0.0,0.0,7.985045300766677e-05,0.00015970090601533354,0.03400000000000002
8.641127443977144e-05,0.0,0.0,0.0,8.641127443977144e-05,0.00017282254887954288,0.035000000000000024
9.328233826001274e-05,0.0,0.0,0.0,9.328233826001274e-05,0.00018656467652002548,0.036000000000000025
0.00010046683891068328,0.0,0.0,0.0,0.00010046683891068328,0.00020093367782136656,0.037000000000000026
0.0001079677372370051,0.0,0.0,0.0,0.0001079677372370051,0.0002159354744740102,0.03800000000000003
0.00011578776606126762,0.0,0.0,0.0,0.00011578776606126762,0.00023157553212253525,0.03900000000000003
0.0001239294356605768,0.0,0.0,0.0,0.0001239294356605768,0.0002478588713211536,0.04000000000000003
0.00013239503914962446,0.0,0.0,0.0,0.00013239503914962446,0.0002647900782992489,0.04100000000000003
0.00014118665776986707,0.0,0.0,0.0,0.00014118665776986707,0.00028237331553973414,0.04200000000000003
0.00015030616608648683,0.0,0.0,0.0,0.00015030616608648683,0.00030061233217297366,0.04300000000000003
0.00015975523709448733,0.0,0.0,0.0,0.00015975523709448733,0.00031951047418897466,0.04400000000000003
0.00016953534723526087,0.0,0.0,0.0,0.00016953534723526087,0.00033907069447052174,0.04500000000000003
0.00017964778132494507,0.0,0.0,0.0,0.00017964778132494507,0.00035929556264989015,0.046000000000000034
0.00019009363739586925,0.0,0.0,0.0,0.00019009363739586925,0.0003801872747917385,0.047000000000000035
0.00020087383145237495,0.0,0.0,0.0,0.00020087383145237495,0.0004017476629047499,0.048000000000000036
