estimated_true_dist,empirical_min_dist,empirical_true_dist
157.8896109733175,157.909,158
158.88248022155196,158.90833333333333,159
159.8762931600135,159.90733333333336,160
160.86831001778936,160.90733333333333,161
161.93980485468416,161.90599999999998,162
162.9425782098074,162.90499999999997,163
163.940217380751,163.903,164
164.86576554946438,164.9023333333333,165
165.86640682991433,165.9013333333334,166
166.88195891359751,166.89999999999998,167
167.88882516852763,167.89899999999997,168
168.88875096097115,168.89666666666665,169
169.88467265142202,169.89499999999998,170
170.89415649458826,170.89466666666667,171
171.89845326770035,171.89299999999997,172
172.90150275960164,172.89266666666668,173
173.90290142001578,173.89166666666665,174
174.90264077932275,174.88866666666667,175
175.8951541576539,175.887,176
176.89412716423013,176.88599999999997,177
177.89838162610945,177.88566666666665,178
178.90175763466777,178.88500000000002,179
179.8982706571371,179.88266666666664,180
