n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,38,962.1137,877.5417,58.5098,7.2198,4.38,8.0525,0.118,0.2355,1.1973,2.1952,0.0033,0.01,0.1063,0.4774,0.795,0.0,0.0005,0.0064,0.0597,0.2302,0.3196,6.1155
1000,39,961.1199,876.96,57.6859,7.3986,4.4307,8.0426,0.1236,0.243,1.2239,2.2113,0.0035,0.0103,0.1139,0.4965,0.8143,0.0,0.0007,0.0074,0.0636,0.2436,0.3335,6.2773
1000,40,960.1266,876.373,56.8816,7.576,4.4851,8.0136,0.1307,0.2517,1.2524,2.2324,0.0036,0.0104,0.1206,0.5119,0.834,0.0,0.0008,0.0084,0.0665,0.2558,0.3453,6.447
1000,41,959.1333,875.7834,56.0834,7.7607,4.5307,7.9868,0.1367,0.2597,1.283,2.2511,0.0038,0.0111,0.1251,0.5278,0.8478,0.0,0.0009,0.0091,0.0708,0.2684,0.3583,6.6158
1000,42,958.141,875.1875,55.2944,7.9405,4.5821,7.9669,0.1444,0.2699,1.3079,2.2631,0.004,0.0117,0.1313,0.5422,0.8634,0.0,0.0009,0.01,0.0759,0.276,0.3701,6.7918
1000,43,957.1497,874.5966,54.5191,8.1288,4.6213,7.9391,0.1493,0.2768,1.3331,2.2733,0.0043,0.0127,0.1378,0.5576,0.8793,0.0,0.0009,0.0106,0.0807,0.2867,0.3793,6.9792
1000,44,956.1594,874.0125,53.7767,8.3089,4.6533,7.8871,0.1565,0.284,1.354,2.2814,0.0044,0.0138,0.1444,0.5774,0.8873,0.0,0.001,0.011,0.0841,0.2955,0.3922,7.1788
1000,45,955.1681,873.4273,53.0278,8.4872,4.692,7.8439,0.1631,0.2921,1.3824,2.278,0.0046,0.0146,0.15,0.5894,0.901,0.0,0.001,0.0115,0.0884,0.306,0.4032,7.3698
1000,46,954.1777,872.8448,52.2888,8.6659,4.7258,7.7884,0.169,0.3019,1.4044,2.2855,0.0046,0.0161,0.1532,0.6056,0.9169,0.0,0.0011,0.0122,0.0957,0.315,0.4098,7.5722
1000,47,953.1865,872.2567,51.5548,8.8462,4.7569,7.7369,0.1765,0.3106,1.4246,2.3008,0.0048,0.0173,0.1599,0.6192,0.9218,0.0,0.0011,0.0133,0.0997,0.3238,0.4179,7.7796
1000,48,952.1953,871.6731,50.831,9.0251,4.7875,7.6808,0.1838,0.3188,1.4502,2.2996,0.005,0.0178,0.1649,0.6349,0.9246,0.0,0.0011,0.0147,0.1039,0.3318,0.4295,7.988
1000,49,951.2054,871.0975,50.1202,9.1987,4.8132,7.6207,0.1915,0.3266,1.471,2.2986,0.0052,0.0183,0.1709,0.6519,0.9316,0.0,0.001,0.0155,0.1067,0.3421,0.4319,8.2133
1000,50,950.2183,870.5147,49.4189,9.3735,4.8438,7.5683,0.1992,0.3355,1.483,2.2888,0.0058,0.019,0.1751,0.6683,0.9364,0.0,0.0012,0.0169,0.1113,0.3508,0.4373,8.4278
1000,51,949.2308,869.9476,48.7212,9.5408,4.871,7.5062,0.2066,0.344,1.502,2.2829,0.0063,0.0199,0.1815,0.676,0.9411,0.0001,0.0013,0.0182,0.1159,0.3608,0.4421,8.6715
1000,52,948.2426,869.3627,48.045,9.7199,4.8952,7.4426,0.2146,0.3517,1.5146,2.2752,0.0068,0.0208,0.1856,0.6857,0.9426,0.0001,0.0015,0.0191,0.1194,0.372,0.4438,8.9159
1000,53,947.2582,868.7848,47.3718,9.8929,4.9304,7.3744,0.2219,0.3592,1.5258,2.2679,0.0071,0.0214,0.1888,0.6981,0.9453,0.0001,0.0017,0.0204,0.1219,0.3758,0.4479,9.1748
1000,54,946.2723,868.1976,46.7153,10.0705,4.9473,7.3035,0.2299,0.3702,1.5435,2.2584,0.0074,0.0216,0.1933,0.7042,0.9507,0.0002,0.0019,0.0209,0.1247,0.3832,0.4518,9.4317
1000,55,945.2855,867.6216,46.0661,10.2431,4.9605,7.2373,0.2378,0.3778,1.5559,2.2405,0.0081,0.0232,0.1992,0.7174,0.9474,0.0002,0.002,0.0213,0.1291,0.395,0.4537,9.7024
1000,56,944.2986,867.0407,45.4226,10.4178,4.9757,7.1586,0.2444,0.386,1.5701,2.231,0.0086,0.0239,0.2055,0.7256,0.9496,0.0002,0.0023,0.0221,0.1338,0.4019,0.4504,9.9683
1000,57,943.3147,866.4696,44.7832,10.5847,4.9955,7.0923,0.2514,0.3911,1.5791,2.2149,0.0101,0.0248,0.2129,0.7299,0.9473,0.0002,0.0023,0.0226,0.1375,0.4081,0.4526,10.2556
1000,58,942.3323,865.8796,44.176,10.7604,5.0083,7.0125,0.2609,0.3983,1.5885,2.2001,0.0106,0.0267,0.2178,0.7311,0.9442,0.0002,0.0024,0.0243,0.1427,0.4145,0.4533,10.544
1000,59,941.3472,865.2851,43.5625,10.9413,5.0179,6.9353,0.2701,0.4053,1.6032,2.1842,0.0108,0.0273,0.2235,0.7362,0.9407,0.0002,0.0024,0.0248,0.1462,0.4195,0.4562,10.8257
1000,60,940.3638,864.697,42.9619,11.1148,5.0332,6.8551,0.2793,0.4122,1.6081,2.1682,0.0114,0.0282,0.2305,0.7407,0.9369,0.0004,0.0025,0.0251,0.1505,0.4261,0.4559,11.1367
