estimated_true_dist,empirical_min_dist,empirical_true_dist
72.96844676243346,72.98033333333332,73
73.96349265456882,73.98033333333333,74
74.9916710219378,74.98033333333332,75
75.99281529982508,75.98033333333332,76
76.99731539842742,76.98,77
77.99814737488518,77.97999999999999,78
78.99150679888035,78.97933333333332,79
79.99290029165816,79.97866666666665,80
80.98029020602368,80.97833333333331,81
81.97842499151682,81.978,82
82.9800864195665,82.97800000000001,83
83.97494415785341,83.97766666666668,84
84.97822226548128,84.97733333333333,85
85.97267922101007,85.97733333333333,86
86.9693800731113,86.97666666666667,87
87.9601339371835,87.97599999999998,88
88.9582240709766,88.97533333333331,89
89.96275634529798,89.97466666666666,90
90.96589305316846,90.97366666666667,91
91.95903371521085,91.97366666666666,92
92.9650187653117,92.97366666666667,93
93.96263395685213,93.97333333333336,94
94.95185006237753,94.97199999999998,95
95.94879000867748,95.96999999999998,96
96.95163572685256,96.96933333333332,97
97.9570904840943,97.96933333333332,98
98.9474845329147,98.969,99
99.95630830185955,99.96899999999998,100
100.95741865533915,100.96799999999998,101
101.9566973133082,101.96799999999998,102
102.96337665335248,102.96666666666667,103
103.95823260528607,103.96666666666665,104
104.95530144700675,104.96533333333335,105
105.95829368633673,105.96466666666666,106
106.94977890996202,106.96433333333333,107
107.95275315010919,107.96433333333331,108
108.95460246738868,108.96266666666666,109
109.95141075956893,109.96266666666666,110
110.95806441035651,110.96233333333333,111
111.9568711097946,111.961,112
112.9631119362137,112.96100000000001,113
113.96335018974989,113.96033333333335,114
114.95363573892828,114.95833333333331,115
115.94854018851524,115.95699999999998,116
116.95013518787955,116.95599999999999,117
117.95862440214003,117.95433333333335,118
118.95843664705765,118.95366666666666,119
119.96006965891937,119.953,120
120.9514815784571,120.95266666666666,121
121.96070439648607,121.95033333333333,122
122.9587503478652,122.94966666666667,123
123.95973763423837,123.949,124
124.96178187442385,124.94900000000003,125
125.95353560616746,125.94833333333332,126
126.94556515156985,126.94733333333333,127
127.93881493004193,127.94633333333333,128
128.93783690672177,128.945,129
129.93087296568933,129.94466666666665,130
130.9313949925068,130.94233333333335,131
131.93028998957945,131.94233333333335,132
132.92393122736837,132.94166666666666,133
133.93650709907632,133.94166666666663,134
134.93200854259027,134.94133333333332,135
135.9334907917282,135.9403333333333,136
136.93064417484996,136.93966666666665,137
137.9186679396941,137.93966666666665,138
138.9220501871634,138.93800000000002,139
139.91264639665334,139.93733333333336,140
140.9119112750102,140.93499999999997,141
141.90680249513716,141.93299999999996,142
142.9101880471641,142.93233333333333,143
143.90668938883258,143.93133333333336,144
144.90572408547362,144.9306666666667,145
145.9094174707146,145.9296666666667,146
146.90947767758368,146.929,147
147.91323390893427,147.92866666666666,148
148.90715216142686,148.9283333333333,149
149.90262413177592,149.928,150
150.89306064237903,150.9273333333334,151
151.95609715067738,151.926,152
152.93919119921068,152.9243333333333,153
153.92711474071743,153.92233333333334,154
154.92922288117174,154.92166666666662,155
155.93054858937674,155.92033333333328,156
156.93557221413616,156.91866666666667,157
157.9366860890652,157.91733333333332,158
158.93250692842238,158.917,159
159.93279711677394,159.91533333333325,160
160.9418741512802,160.91499999999996,161
161.94584303880654,161.914,162
162.94645094491085,162.91333333333336,163
163.9478086534603,163.91133333333332,164
164.94146138650112,164.9076666666666,165
165.94371561430623,165.907,166
166.8682800302547,166.90700000000004,167
167.87176611969494,167.907,168
168.86908967411537,168.90666666666664,169
169.93981134928407,169.90533333333335,170
170.9368530148132,170.90533333333332,171
171.92432151813094,171.904,172
172.89604353254538,172.90300000000002,173
173.90789434258454,173.90300000000002,174
174.91552163074576,174.90233333333342,175
175.90619264151198,175.90166666666667,176
176.89914693861616,176.9,177
177.88960952332525,177.89933333333337,178
178.8833486105741,178.89833333333328,179
179.87658018573816,179.8963333333333,180
180.86091329737596,180.89566666666667,181
181.88328493045975,181.89466666666664,182
