estimated_true_dist,best_x,min_error,empirical_min_dist,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
1339.755422940022,1.3139343278870392,47.29562160533953,935.0,31,0.4,0.4,0.4,1500
90.54695986591395,0.000518803826828003,1.0000000000000187,100.0,32,0.4,0.4,0.4,100
293.0393435602676,0.29177856872367863,1.1746130871878022,300.0,32,0.4,0.4,0.4,300
506.4790487569878,0.5329895056206513,2.19370193169107,498.0,32,0.4,0.4,0.4,500
701.4726904641389,0.6965637239617156,3.9631511851466206,677.0,32,0.4,0.4,0.4,700
901.4974590191249,0.9018249539173127,8.978093318195354,795.0,32,0.4,0.4,0.4,900
1052.4765665626799,1.022735598146286,14.686725417477511,868.0,32,0.4,0.4,0.4,1100
1246.0875990388372,1.2326354999652864,34.259952961475946,907.0,32,0.4,0.4,0.4,1300
1394.4353482828071,1.371978761335678,59.43392017557436,940.0,32,0.4,0.4,0.4,1500
88.54592207882192,0.000518803826828003,1.0000000000000187,100.0,33,0.4,0.4,0.4,100
302.2932316618747,0.33914184985527046,1.283577917486225,300.0,33,0.4,0.4,0.4,300
496.90655387536845,0.5061340369377899,2.009543228476835,497.0,33,0.4,0.4,0.4,500
685.8116833744934,0.6794738802544403,3.713060432386145,664.0,33,0.4,0.4,0.4,700
907.357832048372,0.9244689968294526,9.8452947089502,790.0,33,0.4,0.4,0.4,900
1137.8878416703917,1.1697692891849516,26.637739136397094,864.0,33,0.4,0.4,0.4,1100
1394.6550156314502,1.4555969251891325,82.35982374705215,897.0,33,0.4,0.4,0.4,1300
1466.3009818130326,1.4883117688573455,93.49962241653786,927.0,33,0.4,0.4,0.4,1500
89.54644097236792,0.000518803826828003,1.0000000000000187,100.0,34,0.4,0.4,0.4,100
302.9386615527178,0.30148315854316715,1.1942146932200814,300.0,34,0.4,0.4,0.4,300
500.5808856057579,0.5016174353865814,1.9813247625044788,498.0,34,0.4,0.4,0.4,500
700.4268764371537,0.6895446810105134,3.857502497740978,676.0,34,0.4,0.4,0.4,700
884.6718454799519,0.8805847195954133,8.23832532707586,786.0,34,0.4,0.4,0.4,900
1047.5278807660898,1.0323181176535796,15.27743731810252,861.0,34,0.4,0.4,0.4,1100
1223.8356337957252,1.1988830586434174,29.93602447476592,909.0,34,0.4,0.4,0.4,1300
1404.6320563836057,1.3879089370771027,63.265259125457085,941.0,34,0.4,0.4,0.4,1500
90.04670041914093,0.000518803826828003,1.0000000000000187,100.0,35,0.4,0.4,0.4,100
300.4890448706268,0.32223511161628726,1.240958071879889,299.0,35,0.4,0.4,0.4,300
488.9746132974547,0.4926452674402618,1.9255260607865077,496.0,35,0.4,0.4,0.4,500
672.5257085656372,0.6698913607471466,3.5793703048308236,649.0,35,0.4,0.4,0.4,700
835.7205242546564,0.8290710478491974,6.688591525101417,762.0,35,0.4,0.4,0.4,900
1035.3789330632376,1.0335388207755278,15.351450162070131,846.0,35,0.4,0.4,0.4,1100
1282.786915991939,1.2936706560626983,43.671069155176305,903.0,35,0.4,0.4,0.4,1300
1436.7273599485015,1.4248352065160368,73.0736873573649,939.0,35,0.4,0.4,0.4,1500
107.10408564691778,0.19125366663124083,1.0409275134111182,100.0,36,0.4,0.4,0.4,100
300.87912878231964,0.293914799187088,1.1787095412136366,300.0,36,0.4,0.4,0.4,300
509.72363953479163,0.5387878454499055,2.2366594690161823,500.0,36,0.4,0.4,0.4,500
684.4671498106252,0.6889953646056366,3.8493545754557794,665.0,36,0.4,0.4,0.4,700
886.2568427050095,0.8982238797075653,8.850471743400826,786.0,36,0.4,0.4,0.4,900
1056.903967353904,1.057281496497421,16.902438619420256,855.0,36,0.4,0.4,0.4,1100
1236.7289536253413,1.230987550750656,34.03999152506816,909.0,36,0.4,0.4,0.4,1300
1270.786827978607,1.2214050312433624,32.76050181223619,936.0,36,0.4,0.4,0.4,1500
92.04773820623295,0.000518803826828003,1.0000000000000187,100.0,37,0.4,0.4,0.4,100
301.73303873658267,0.31680298272361757,1.2280285032331415,300.0,37,0.4,0.4,0.4,300
504.138450011918,0.5293273962548065,2.167335430769937,499.0,37,0.4,0.4,0.4,500
717.784707017297,0.7491149933615876,4.862220532926803,672.0,37,0.4,0.4,0.4,700
909.2788461503507,0.9377746608586883,10.391589919362335,784.0,37,0.4,0.4,0.4,900
1052.6804329730714,1.0445861840291595,16.05363756650445,860.0,37,0.4,0.4,0.4,1100
1240.9274170325482,1.2398986835408783,35.27328782282188,905.0,37,0.4,0.4,0.4,1300
1521.8200383666751,1.5472717296474456,117.38052418802131,932.0,37,0.4,0.4,0.4,1500
108.815867392227,0.19033813928977966,1.040221318542507,100.0,38,0.4,0.4,0.4,100
291.5021283448374,0.2834777874944306,1.1588760787263093,298.0,38,0.4,0.4,0.4,300
506.32120461718625,0.5423889196596527,2.2638209060896224,495.0,38,0.4,0.4,0.4,500
684.8996749544858,0.7090759309616852,4.158680267111957,661.0,38,0.4,0.4,0.4,700
883.1492045234903,0.8865661648929597,8.438261049941351,785.0,38,0.4,0.4,0.4,900
1015.5633969772022,1.001861574760971,13.490984695573774,851.0,38,0.4,0.4,0.4,1100
1261.6771800385886,1.2701721209651946,39.78693377617046,905.0,38,0.4,0.4,0.4,1300
1688.544216681074,1.7307434088762665,236.24658512672008,941.0,38,0.4,0.4,0.4,1500
91.04721931268695,0.000518803826828003,1.0000000000000187,100.0,39,0.4,0.4,0.4,100
294.19197202267554,0.2524108930408478,1.1079063583881452,300.0,39,0.4,0.4,0.4,300
500.8488786653168,0.513702396293869,2.059190301721625,495.0,39,0.4,0.4,0.4,500
681.4222632557198,0.6936950716251373,3.9203094653710284,666.0,39,0.4,0.4,0.4,700
859.9542153816585,0.8665466336930086,7.780579414921619,776.0,39,0.4,0.4,0.4,900
1076.5626997805261,1.0917663596924592,19.44593080997934,854.0,39,0.4,0.4,0.4,1100
1213.1349355539944,1.1901550313214875,28.90642129246594,909.0,39,0.4,0.4,0.4,1300
1419.3437291519588,1.4220886244916533,72.31317595454662,929.0,39,0.4,0.4,0.4,1500
88.54592207882192,0.000518803826828003,1.0000000000000187,100.0,40,0.4,0.4,0.4,100
296.9484803955502,0.3039855999431611,1.1994022225121819,299.0,40,0.4,0.4,0.4,300
485.2030355023873,0.5066833533426667,2.0131214389290153,495.0,40,0.4,0.4,0.4,500
699.5190044274877,0.7492370636737824,4.865936435122654,660.0,40,0.4,0.4,0.4,700
855.1120790592305,0.853729250912552,7.386723657210696,773.0,40,0.4,0.4,0.4,900
1009.1931327918857,0.9910583521317292,12.910732460543516,849.0,40,0.4,0.4,0.4,1100
1148.4464010129896,1.1054992698143769,20.556790782778737,903.0,40,0.4,0.4,0.4,1300
1369.7423458153025,1.3419494645357515,52.83892856269816,940.0,40,0.4,0.4,0.4,1500
94.04877599332498,0.000518803826828003,1.0000000000000187,100.0,41,0.4,0.4,0.4,100
294.64894505632867,0.28054810000175484,1.1534118366734845,300.0,41,0.4,0.4,0.4,300
498.7698872658373,0.49917602914268494,1.965659922490064,498.0,41,0.4,0.4,0.4,500
675.7972718380843,0.6709289584008027,3.594263407827258,659.0,41,0.4,0.4,0.4,700
819.1764361365571,0.8020324736980439,5.999448318128829,762.0,41,0.4,0.4,0.4,900
1004.9665941464474,0.993255617751236,13.030817844463542,841.0,41,0.4,0.4,0.4,1100
1196.4280633165017,1.1871643086727142,28.56350637892468,897.0,41,0.4,0.4,0.4,1300
1339.755422940022,1.3139343278870392,47.29562160533953,935.0,41,0.4,0.4,0.4,1500
85.54436539818388,0.000518803826828003,1.0000000000000187,100.0,42,0.4,0.4,0.4,100
299.8511028635336,0.2732849164261628,1.1407295828165906,300.0,42,0.4,0.4,0.4,300
493.68218079418307,0.4738464393622589,1.8176391425019256,497.0,42,0.4,0.4,0.4,500
