n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,48,952.208,871.895,50.693,8.864,4.799,7.735,0.168,0.349,1.479,2.285,0.006,0.016,0.157,0.661,0.873,0.001,0.001,0.016,0.112,0.324,0.421,7.931
1000,49,951.22,871.297,49.98,9.044,4.821,7.672,0.175,0.356,1.514,2.281,0.006,0.017,0.166,0.68,0.893,0.001,0.001,0.017,0.124,0.335,0.431,8.11
1000,50,950.233,870.706,49.293,9.211,4.832,7.609,0.187,0.372,1.543,2.28,0.006,0.016,0.172,0.697,0.905,0.001,0.002,0.017,0.123,0.358,0.43,8.321
1000,51,949.239,870.124,48.601,9.373,4.856,7.562,0.198,0.385,1.539,2.279,0.006,0.019,0.183,0.704,0.891,0.001,0.002,0.018,0.135,0.362,0.453,8.543
1000,52,948.248,869.504,47.936,9.569,4.873,7.524,0.205,0.39,1.549,2.258,0.006,0.021,0.188,0.712,0.897,0.001,0.002,0.018,0.144,0.376,0.453,8.79
1000,53,947.265,868.924,47.265,9.738,4.896,7.481,0.213,0.402,1.55,2.24,0.006,0.021,0.199,0.73,0.893,0.001,0.002,0.018,0.144,0.381,0.458,9.051
1000,54,946.277,868.352,46.611,9.921,4.892,7.412,0.222,0.404,1.564,2.217,0.008,0.022,0.201,0.756,0.895,0.001,0.002,0.017,0.152,0.388,0.468,9.334
1000,55,945.299,867.775,45.951,10.111,4.893,7.37,0.227,0.416,1.583,2.184,0.008,0.022,0.205,0.769,0.888,0.001,0.002,0.02,0.153,0.39,0.471,9.574
1000,56,944.309,867.176,45.303,10.29,4.913,7.313,0.239,0.422,1.585,2.168,0.009,0.023,0.212,0.771,0.906,0.001,0.003,0.02,0.162,0.399,0.457,9.824
1000,57,943.321,866.609,44.657,10.458,4.948,7.234,0.249,0.426,1.585,2.173,0.009,0.024,0.213,0.765,0.913,0.001,0.003,0.021,0.17,0.399,0.449,10.164
1000,58,942.339,866.014,44.024,10.633,4.959,7.155,0.263,0.432,1.605,2.189,0.01,0.024,0.223,0.765,0.911,0.001,0.004,0.022,0.168,0.407,0.437,10.422
1000,59,941.352,865.451,43.383,10.81,4.953,7.109,0.266,0.439,1.61,2.154,0.011,0.027,0.231,0.777,0.909,0.001,0.004,0.025,0.172,0.411,0.431,10.698
1000,60,940.364,864.876,42.79,10.986,4.956,7.012,0.276,0.447,1.62,2.115,0.012,0.026,0.233,0.787,0.915,0.001,0.004,0.027,0.175,0.408,0.431,10.961
1000,61,939.391,864.342,42.196,11.133,4.973,6.907,0.286,0.45,1.621,2.092,0.013,0.027,0.239,0.806,0.904,0.001,0.004,0.029,0.175,0.417,0.44,11.287
1000,62,938.405,863.759,41.612,11.306,4.989,6.829,0.292,0.458,1.622,2.079,0.016,0.028,0.236,0.801,0.889,0.001,0.004,0.029,0.182,0.412,0.434,11.604
1000,63,937.416,863.147,41.063,11.497,4.985,6.729,0.305,0.466,1.629,2.051,0.016,0.03,0.242,0.805,0.902,0.001,0.003,0.028,0.18,0.419,0.434,11.965
1000,64,936.432,862.555,40.51,11.662,4.99,6.634,0.32,0.474,1.637,2.016,0.016,0.031,0.243,0.811,0.912,0.001,0.003,0.033,0.182,0.43,0.426,12.354
1000,65,935.45,861.987,39.918,11.831,5.007,6.569,0.327,0.48,1.641,1.995,0.016,0.034,0.251,0.811,0.894,0.001,0.003,0.035,0.19,0.436,0.428,12.744
1000,66,934.474,861.399,39.362,12.013,5.018,6.481,0.335,0.485,1.635,1.992,0.016,0.033,0.259,0.819,0.868,0.001,0.003,0.035,0.19,0.432,0.435,13.11
1000,67,933.487,860.795,38.822,12.182,5.032,6.397,0.35,0.491,1.635,1.962,0.017,0.034,0.267,0.826,0.858,0.001,0.003,0.035,0.188,0.438,0.429,13.519
1000,68,932.509,860.183,38.3,12.365,5.046,6.311,0.361,0.493,1.63,1.945,0.018,0.035,0.279,0.817,0.839,0.001,0.003,0.038,0.194,0.43,0.431,13.914
1000,69,931.525,859.592,37.795,12.525,5.037,6.213,0.371,0.505,1.647,1.909,0.018,0.038,0.274,0.817,0.818,0.001,0.003,0.04,0.201,0.438,0.435,14.325
1000,70,930.543,859.004,37.294,12.701,5.043,6.108,0.38,0.511,1.639,1.875,0.019,0.037,0.279,0.815,0.823,0.001,0.002,0.042,0.201,0.442,0.421,14.804
1000,71,929.56,858.424,36.77,12.868,5.03,6.014,0.387,0.514,1.663,1.863,0.019,0.042,0.289,0.799,0.814,0.001,0.002,0.039,0.2,0.448,0.408,15.214
1000,72,928.582,857.893,36.254,13.013,5.019,5.916,0.397,0.519,1.67,1.847,0.02,0.042,0.289,0.801,0.79,0.001,0.003,0.039,0.208,0.449,0.403,15.767
1000,73,927.609,857.304,35.754,13.193,5.021,5.812,0.404,0.521,1.654,1.821,0.022,0.043,0.288,0.805,0.789,0.001,0.003,0.041,0.215,0.449,0.396,16.163
1000,74,926.651,856.724,35.252,13.351,5.024,5.728,0.415,0.526,1.643,1.808,0.022,0.046,0.29,0.813,0.781,0.001,0.003,0.044,0.213,0.438,0.391,16.557
1000,75,925.681,856.131,34.78,13.527,5.023,5.642,0.423,0.521,1.642,1.759,0.022,0.047,0.294,0.822,0.778,0.001,0.003,0.047,0.214,0.442,0.387,17.034
1000,76,924.699,855.576,34.253,13.683,5.029,5.572,0.432,0.534,1.632,1.738,0.024,0.047,0.296,0.822,0.767,0.001,0.003,0.048,0.213,0.429,0.385,17.593
1000,77,923.729,855.06,33.738,13.807,5.024,5.501,0.452,0.543,1.616,1.717,0.024,0.048,0.294,0.813,0.763,0.002,0.003,0.051,0.22,0.428,0.386,18.187
1000,78,922.772,854.461,33.279,13.956,5.012,5.402,0.471,0.546,1.631,1.703,0.025,0.051,0.294,0.81,0.753,0.002,0.003,0.053,0.221,0.436,0.384,18.589
1000,79,921.796,853.939,32.793,14.105,4.991,5.306,0.479,0.55,1.618,1.688,0.025,0.052,0.295,0.807,0.746,0.002,0.003,0.049,0.222,0.427,0.365,19.195
1000,80,920.837,853.403,32.322,14.244,4.993,5.208,0.494,0.548,1.611,1.649,0.028,0.057,0.297,0.803,0.75,0.002,0.003,0.05,0.224,0.426,0.361,19.734
1000,81,919.884,852.844,31.919,14.404,4.972,5.102,0.504,0.556,1.607,1.593,0.029,0.057,0.296,0.796,0.752,0.002,0.003,0.05,0.221,0.418,0.361,20.412
1000,82,918.928,852.261,31.473,14.564,4.955,5.034,0.517,0.562,1.614,1.566,0.031,0.054,0.3,0.775,0.742,0.002,0.003,0.053,0.224,0.418,0.349,20.976
1000,83,917.982,851.7,31.02,14.727,4.935,4.968,0.528,0.566,1.617,1.534,0.031,0.054,0.306,0.767,0.728,0.002,0.003,0.054,0.227,0.426,0.348,21.623
1000,84,917.027,851.167,30.588,14.877,4.914,4.879,0.536,0.566,1.613,1.52,0.031,0.053,0.309,0.763,0.718,0.002,0.003,0.054,0.222,0.424,0.336,22.327
1000,85,916.084,850.628,30.182,15.016,4.887,4.799,0.55,0.58,1.599,1.489,0.032,0.052,0.307,0.753,0.713,0.002,0.004,0.057,0.225,0.42,0.334,23.128
1000,86,915.146,850.057,29.776,15.168,4.876,4.729,0.561,0.585,1.59,1.455,0.036,0.054,0.311,0.74,0.685,0.002,0.003,0.055,0.228,0.425,0.322,23.684
1000,87,914.21,849.491,29.361,15.325,4.875,4.65,0.572,0.585,1.59,1.437,0.037,0.054,0.316,0.72,0.672,0.002,0.003,0.052,0.226,0.429,0.304,24.442
1000,88,913.293,848.945,28.966,15.489,4.842,4.591,0.577,0.595,1.576,1.398,0.038,0.053,0.314,0.72,0.661,0.002,0.004,0.053,0.231,0.427,0.301,25.154
1000,89,912.366,848.392,28.533,15.632,4.839,4.538,0.586,0.602,1.563,1.38,0.041,0.055,0.312,0.729,0.635,0.002,0.005,0.052,0.23,0.413,0.3,25.852
1000,90,911.424,847.803,28.13,15.805,4.823,4.475,0.595,0.604,1.546,1.36,0.041,0.056,0.31,0.718,0.618,0.002,0.006,0.053,0.229,0.41,0.302,26.513
1000,91,910.477,847.257,27.726,15.959,4.812,4.397,0.602,0.609,1.538,1.343,0.041,0.056,0.313,0.706,0.586,0.002,0.006,0.055,0.23,0.384,0.305,27.323
1000,92,909.532,846.684,27.36,16.113,4.793,4.315,0.617,0.614,1.521,1.306,0.041,0.058,0.309,0.699,0.579,0.003,0.007,0.054,0.234,0.384,0.289,28.126
1000,93,908.614,846.175,26.972,16.239,4.797,4.233,0.629,0.617,1.498,1.282,0.041,0.06,0.309,0.688,0.571,0.003,0.009,0.057,0.237,0.384,0.277,28.993
1000,94,907.682,845.599,26.59,16.41,4.796,4.167,0.644,0.616,1.486,1.27,0.04,0.062,0.304,0.677,0.554,0.004,0.009,0.055,0.237,0.38,0.275,29.908
1000,95,906.738,845.044,26.191,16.565,4.784,4.087,0.652,0.62,1.492,1.251,0.041,0.062,0.303,0.675,0.536,0.004,0.008,0.056,0.227,0.367,0.27,30.773
1000,96,905.825,844.405,25.845,16.755,4.779,4.011,0.657,0.633,1.491,1.223,0.043,0.066,0.308,0.679,0.528,0.004,0.008,0.059,0.225,0.358,0.258,31.561
1000,97,904.919,843.808,25.53,16.934,4.751,3.926,0.668,0.633,1.483,1.19,0.043,0.068,0.312,0.676,0.504,0.004,0.008,0.059,0.224,0.355,0.255,32.397
1000,98,904.017,843.246,25.17,17.084,4.741,3.838,0.683,0.63,1.455,1.172,0.044,0.069,0.313,0.677,0.497,0.004,0.008,0.064,0.223,0.354,0.245,33.072
1000,99,903.1,842.659,24.81,17.245,4.708,3.786,0.694,0.635,1.451,1.142,0.045,0.07,0.315,0.682,0.488,0.004,0.01,0.065,0.221,0.348,0.244,34.043
1000,100,902.173,842.086,24.456,17.406,4.68,3.722,0.708,0.637,1.428,1.097,0.046,0.069,0.31,0.677,0.482,0.004,0.01,0.069,0.225,0.344,0.244,34.91
1000,101,901.284,841.535,24.11,17.552,4.669,3.644,0.714,0.634,1.415,1.084,0.048,0.072,0.315,0.658,0.472,0.005,0.011,0.069,0.226,0.345,0.24,35.711
1000,102,900.387,840.952,23.776,17.716,4.656,3.576,0.728,0.646,1.397,1.072,0.048,0.072,0.316,0.641,0.461,0.005,0.011,0.067,0.231,0.34,0.233,36.646
1000,103,899.508,840.384,23.467,17.875,4.641,3.513,0.742,0.646,1.376,1.039,0.047,0.075,0.32,0.629,0.448,0.005,0.011,0.066,0.229,0.333,0.23,37.541
1000,104,898.632,839.804,23.163,18.048,4.612,3.443,0.75,0.648,1.357,1.026,0.049,0.074,0.322,0.621,0.431,0.005,0.013,0.069,0.22,0.328,0.221,38.296
