A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10,x,a_in_non_trivial_cycles,b_in_non_trivial_cycles
0.47010344703899526,0.5100955404273054,0.9801989874663006,0.004316352556991123,0.004330209214634659,0.0009607278520596777,0.009607289623685459,7.926297717488707e-05,7.35184307896497e-05,1.729296495532661e-05,1.8546975632716954e-05,0.00018862134855258033,1.9407186871087303e-06,1.6642643647195484e-06,4.4940315746723693e-07,3.7000420856276363e-07,5.197537102850439e-07,4.944144128143323e-06,5.5684725619067874e-08,4.4149896419770015e-08,1.3704397678670727e-08,1.027102493297014e-08,1.1117846196789689e-08,1.7116528107146007e-08,1.5204441895441445e-07,5.176233036734413e-09,1.8910110181368245e-10,7.27614339457325e-12,2.9132977872870064e-13,1.2037824809178653e-14,0.010000000000000002,1.4521704294935816e-14,1.613522699437313e-15
0.46912508433933997,0.5091155300846073,0.9782406144239473,0.004728245688125628,0.0047449452060576445,0.001052575130562301,0.010525766024745573,9.531064542738135e-05,8.844556364150924e-05,2.0800783229177513e-05,2.2305590745316275e-05,0.0002268625830433844,2.5616602100006732e-06,2.19816173159808e-06,5.934769411622139e-07,4.885452506220445e-07,6.861611603770933e-07,6.528005293760105e-06,8.06831645673723e-08,6.402130480551455e-08,1.986941983221166e-08,1.4889133319683121e-08,1.611412389682794e-08,2.4804593595120953e-08,2.2038174001673052e-07,8.236321540597123e-09,3.3031374241012025e-10,1.395230120855918e-11,6.132541594794431e-13,2.781722433193728e-14,0.011000000000000003,3.3540810440625984e-14,3.7267567156251096e-15
0.46814875777359966,0.5081374025661953,0.976286160339795,0.005136638892303857,0.005156433237382717,0.0011436725662964807,0.011436744695983055,0.00011272083358891926,0.00010465202363497133,2.4608303042588926e-05,2.638433237941003e-05,0.00026836549264588953,3.2981323887410763e-06,2.8319435927132184e-06,7.644678171355866e-07,6.292026667060306e-07,8.835727062808216e-07,8.407319171576734e-06,1.1308715191128008e-07,8.980548367745104e-08,2.7867237757221657e-08,2.0878945314817037e-08,2.259312151496421e-08,3.477219104184976e-08,3.090041312175838e-07,1.2572805958486e-08,5.48952249189905e-10,2.524420380245079e-11,1.2079897922443611e-12,5.96544168476544e-14,0.012000000000000004,7.189395855186386e-14,7.988217616873761e-15
0.4671744631042443,0.507161154254733,0.9743356173589772,0.0055415541537062645,0.005564692133329179,0.0012340246872202284,0.012340270974255673,0.0001314661860342604,0.00012211423638799584,2.8709837561623277e-05,3.0776950063918275e-05,0.0003130672100477978,4.158486371874678e-06,3.5729767544694973e-06,9.64351145192662e-07,7.935913942172195e-07,1.114240881143211e-06,1.0603646546897268e-05,1.5414796322869456e-07,1.2251108123722003e-07,3.800990997570616e-08,2.84735670009651e-08,3.080632971384784e-08,4.7405221448159734e-08,4.2135407260459343e-07,1.8535270515263963e-08,8.749512503787582e-10,4.3500318778416365e-11,2.250476704459427e-12,1.201526850820069e-13,0.013000000000000005,1.447348615596898e-13,1.6081651284409977e-14
0.46620219610256297,0.5061867815398333,0.9723889776423963,0.005943013334203003,0.005969740621951282,0.0013236359970702817,0.013236389953224568,0.00015151969589926402,0.00014080890451135118,3.309976866356943e-05,3.547727093141064e-05,0.00036090564000559525,5.150746925700062e-06,4.428366064857286e-06,1.195030323242194e-06,9.832661220576346e-07,1.3803321912488773e-06,1.3137741627106054e-05,2.051883141883455e-07,1.6320678052026003e-07,5.0627917943232185e-08,3.791975340880947e-08,4.101984253188809e-08,6.311180639376292e-08,5.610744149862982e-07,2.652641739753626e-08,1.3457633442604302e-09,7.190868573440527e-11,3.998218538250272e-12,2.2941811462834674e-13,0.014000000000000005,2.7622125692588716e-13,3.0691250769543016e-14
0.46523195254864513,0.5052142808180459,0.970446233366691,0.006341038173990965,0.0063715973351029746,0.0014125109754834087,0.014125146484577349,0.00017285470141824102,0.00016071300492518154,3.7772546252648004e-05,4.04791989241918e-05,0.0004118194515202623,6.2826195506266695e-06,5.404959665772516e-06,1.4583382615989455e-06,1.199722551341214e-06,1.6839289539008526e-06,1.6029568983240198e-05,2.6759723150558523e-07,2.130174506536405e-07,6.606895749173504e-08,4.947699247044061e-08,5.351335483981829e-08,8.2320727900731e-08,7.319947148619506e-07,3.700420158945002e-08,2.0073581352575092e-09,1.1468857406203477e-10,6.8184708447223856e-12,4.1833957247665946e-13,0.015000000000000006,5.034402151362525e-13,5.593780168180583e-14
0.4642637282313628,0.5042436484928432,0.9685073767242061,0.00673565029222765,0.0067702808089004935,0.0015006540781171305,0.015006585179245274,0.00019544488229576745,0.00018180378619887322,4.2722687581823775e-05,4.5776714007664405e-05,0.0004657480700841288,7.561497476531076e-06,6.509354163034274e-06,1.7560388336935393e-06,1.4443986355113785e-06,2.0270311046650373e-06,1.9298320213435304e-05,3.4282509858069933e-07,2.7312041819992914e-07,8.469676866679921e-08,6.34166185959667e-08,6.857919279036269e-08,1.0547992053424723e-07,9.381180173680043e-07,5.0483684903198864e-08,2.915238696465745e-09,1.7730360529459125e-10,1.1221000494934598e-11,7.328580254062626e-13,0.016000000000000007,8.815119691131019e-13,9.79457743459002e-14
0.46329751894835197,0.5032748809746076,0.9665723999229596,0.00712687118766187,0.007165809484182849,0.0015880697367698605,0.01588075040861458,0.00021926425611265666,0.00020405876591403195,4.794477658067407e-05,5.1363871390907466e-05,0.0005226316699982702,8.994468538895044e-06,7.74789971521849e-06,2.089828303516893e-06,1.7186758001553779e-06,2.4115579744208603e-06,2.2962430332206665e-05,4.3237887140865744e-07,3.4474185579691354e-07,1.0689000305187642e-07,8.002095516126874e-08,8.652137645454126e-08,1.330550144426738e-07,1.1836080763159313e-06,6.753862288216308e-08,4.1354688824685025e-09,2.666960577784996e-10,1.7896908956556222e-11,1.2394038477550823e-12,0.017000000000000008,1.490082995835074e-12,1.6556477731500823e-13
0.4623333205059944,0.5023079746806177,0.9646412951866121,0.007514722239261282,0.0075582017069701505,0.0016747623595004654,0.016747686305731896,0.0002442871747657907,0.00022745572805038243,5.343346318926334e-05,5.723480075440834e-05,0.0005824111667598448,1.0588321937484025e-05,9.126705042412165e-06,2.4613367301224285e-06,2.0238801428032748e-06,2.8393500366549016e-06,2.7039593889476798e-05,5.378174604430068e-07,4.291532853576606e-07,1.3304112768998803e-07,9.958248520918286e-08,1.0765471385475385e-07,1.6552792806613406e-07,1.4727770006207262e-06,8.880279778508234e-08,5.745705383201114e-09,3.915419061408877e-10,2.776398293077305e-11,2.0316916381972534e-12,0.01800000000000001,2.441431305520244e-12,2.7127014505780486e-13
0.46137112871939956,0.5013429260350358,0.9627140547544354,0.007899224706836808,0.007947475728919847,0.0017607363307472563,0.01760743676650391,0.00027048832094151527,0.00025197272039440737,5.91834626979734e-05,6.33837054848875e-05,0.0006450282095187836,1.2349554879301259e-05,1.065164235597898e-05,2.8721293495051544e-06,2.3612836129957237e-06,3.3121706254284948e-06,3.1546780823209617e-05,6.60747274188614e-07,5.276681931491044e-07,1.6355536473121803e-07,1.2240304968055922e-07,1.3230392562108695e-07,2.0339550926946304e-07,1.8100733166400456e-06,1.1497111040335368e-07,7.836228854763964e-09,5.625260000765008e-10,4.201900249490533e-11,3.2390713260532685e-12,0.01900000000000001,3.890417126929388e-12,4.322685696588209e-13
