n,k,all-cycles,A-cycles,B-cycles,AA-cycles,AB-cycles,BB-cycles,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,AAAA-cycles,AAAB-cycles,AABB-cycles,ABBB-cycles,BBBB-cycles,AAAAA-cycles,AAAAB-cycles,AAABB-cycles,AABBB-cycles,ABBBB-cycles,BBBBB-cycles,max_cycle_len
1000,53,947.01,446.995,452.065,21.665,2.165,19.625,1.92,0.225,0.21,1.65,0.215,0.02,0.005,0.025,0.17,0.025,0.0,0.0,0.005,0.0,0.025,3.465
1000,54,946.01,446.14,451.17,21.905,2.2,19.9,2.01,0.24,0.22,1.7,0.21,0.02,0.005,0.03,0.19,0.03,0.005,0.0,0.005,0.0,0.03,3.49
1000,55,945.01,445.24,450.28,22.19,2.225,20.21,2.08,0.25,0.225,1.755,0.22,0.02,0.005,0.03,0.205,0.03,0.005,0.0,0.005,0.0,0.03,3.525
1000,56,944.01,444.305,449.455,22.47,2.24,20.48,2.165,0.27,0.22,1.815,0.22,0.025,0.005,0.035,0.22,0.04,0.005,0.0,0.005,0.0,0.03,3.55
1000,57,943.01,443.455,448.49,22.765,2.28,20.785,2.235,0.275,0.22,1.905,0.22,0.025,0.005,0.035,0.23,0.04,0.005,0.0,0.005,0.0,0.03,3.555
1000,58,942.01,442.41,447.735,23.04,2.335,21.09,2.36,0.28,0.225,1.91,0.22,0.025,0.005,0.035,0.245,0.05,0.005,0.0,0.005,0.0,0.03,3.565
1000,59,941.01,441.455,446.9,23.33,2.385,21.355,2.445,0.285,0.24,1.975,0.225,0.025,0.005,0.035,0.245,0.055,0.005,0.0,0.005,0.0,0.035,3.585
1000,60,940.01,440.55,446.025,23.61,2.42,21.635,2.5,0.3,0.245,2.06,0.24,0.025,0.005,0.035,0.245,0.065,0.005,0.0,0.005,0.0,0.035,3.615
1000,61,939.01,439.675,445.125,23.84,2.48,21.935,2.585,0.295,0.25,2.13,0.25,0.03,0.005,0.035,0.25,0.075,0.005,0.0,0.005,0.0,0.035,3.625
1000,62,938.01,438.665,444.32,24.205,2.51,22.205,2.635,0.305,0.265,2.175,0.26,0.03,0.005,0.035,0.265,0.08,0.005,0.0,0.005,0.0,0.035,3.64
1000,63,937.01,437.8,443.41,24.48,2.56,22.475,2.68,0.31,0.28,2.255,0.27,0.035,0.005,0.035,0.275,0.09,0.005,0.0,0.005,0.0,0.035,3.67
1000,64,936.01,436.93,442.51,24.73,2.59,22.755,2.77,0.315,0.28,2.355,0.28,0.035,0.005,0.035,0.275,0.09,0.01,0.0,0.005,0.0,0.035,3.69
1000,65,935.01,436.09,441.635,24.93,2.62,23.01,2.88,0.32,0.285,2.425,0.29,0.035,0.005,0.035,0.29,0.095,0.01,0.0,0.005,0.0,0.045,3.72
1000,66,934.01,435.165,440.815,25.22,2.665,23.21,2.945,0.335,0.295,2.5,0.305,0.035,0.005,0.04,0.315,0.095,0.01,0.0,0.005,0.0,0.045,3.755
1000,67,933.01,434.15,440.04,25.59,2.705,23.435,2.98,0.345,0.305,2.55,0.33,0.035,0.005,0.035,0.34,0.095,0.01,0.0,0.005,0.005,0.045,3.79
1000,68,932.01,433.205,439.26,25.835,2.735,23.665,3.085,0.355,0.32,2.61,0.34,0.035,0.005,0.035,0.355,0.095,0.01,0.0,0.005,0.005,0.04,3.83
1000,69,931.01,432.195,438.53,26.12,2.75,23.88,3.205,0.36,0.33,2.67,0.345,0.035,0.005,0.035,0.375,0.1,0.01,0.0,0.005,0.005,0.04,3.845
1000,70,930.01,431.34,437.705,26.375,2.745,24.08,3.27,0.39,0.335,2.75,0.345,0.035,0.005,0.035,0.4,0.105,0.01,0.0,0.005,0.005,0.05,3.91
1000,71,929.01,430.45,436.865,26.595,2.81,24.345,3.345,0.395,0.34,2.765,0.375,0.035,0.005,0.035,0.44,0.11,0.01,0.0,0.005,0.005,0.055,3.94
1000,72,928.01,429.455,436.085,26.94,2.855,24.595,3.39,0.405,0.34,2.795,0.39,0.035,0.005,0.04,0.445,0.105,0.01,0.0,0.005,0.01,0.065,3.99
1000,73,927.01,428.57,435.275,27.165,2.885,24.8,3.48,0.415,0.35,2.865,0.4,0.035,0.01,0.04,0.47,0.115,0.01,0.0,0.005,0.015,0.065,4.02
1000,74,926.01,427.68,434.48,27.35,2.935,25.02,3.585,0.41,0.35,2.93,0.43,0.04,0.01,0.04,0.48,0.12,0.01,0.0,0.005,0.02,0.075,4.05
1000,75,925.01,426.78,433.555,27.665,2.975,25.37,3.62,0.42,0.34,2.975,0.44,0.045,0.01,0.045,0.485,0.13,0.01,0.0,0.005,0.025,0.075,4.075
1000,76,924.01,425.77,432.815,27.99,3.0,25.575,3.7,0.425,0.34,3.05,0.46,0.045,0.01,0.045,0.495,0.125,0.01,0.0,0.005,0.025,0.075,4.1
1000,77,923.015,424.875,431.975,28.225,3.005,25.875,3.78,0.45,0.345,3.09,0.485,0.045,0.01,0.045,0.515,0.13,0.01,0.0,0.005,0.025,0.075,4.105
1000,78,922.015,423.87,431.23,28.53,3.015,26.12,3.855,0.46,0.35,3.145,0.51,0.045,0.01,0.045,0.53,0.13,0.01,0.0,0.005,0.025,0.075,4.12
1000,79,921.015,422.955,430.41,28.795,3.025,26.39,3.96,0.465,0.36,3.16,0.515,0.05,0.01,0.045,0.57,0.13,0.01,0.0,0.005,0.025,0.075,4.15
1000,80,920.015,422.15,429.51,28.985,3.045,26.655,4.055,0.46,0.365,3.235,0.535,0.06,0.015,0.05,0.585,0.13,0.01,0.0,0.005,0.025,0.08,4.165
1000,81,919.015,421.29,428.63,29.24,3.08,26.915,4.11,0.485,0.37,3.29,0.55,0.06,0.02,0.05,0.595,0.135,0.01,0.0,0.005,0.025,0.095,4.185
1000,82,918.015,420.375,427.81,29.535,3.09,27.16,4.16,0.495,0.37,3.35,0.57,0.07,0.025,0.05,0.615,0.14,0.01,0.0,0.005,0.025,0.1,4.225
1000,83,917.015,419.39,427.115,29.79,3.11,27.335,4.245,0.49,0.38,3.42,0.6,0.08,0.025,0.05,0.63,0.15,0.01,0.0,0.005,0.025,0.1,4.28
1000,84,916.015,418.575,426.295,29.96,3.145,27.52,4.305,0.51,0.385,3.5,0.63,0.08,0.025,0.055,0.64,0.16,0.02,0.0,0.005,0.025,0.11,4.305
1000,85,915.015,417.675,425.495,30.255,3.175,27.695,4.33,0.505,0.38,3.595,0.67,0.085,0.03,0.065,0.66,0.165,0.02,0.0,0.005,0.025,0.115,4.335
1000,86,914.015,416.8,424.68,30.49,3.165,27.95,4.39,0.54,0.38,3.64,0.68,0.09,0.03,0.075,0.675,0.185,0.02,0.0,0.005,0.025,0.125,4.375
1000,87,913.015,415.96,423.86,30.66,3.18,28.19,4.47,0.545,0.395,3.695,0.735,0.085,0.03,0.075,0.68,0.185,0.02,0.005,0.005,0.025,0.145,4.41
1000,88,912.015,415.08,423.025,30.92,3.205,28.435,4.515,0.565,0.39,3.75,0.76,0.085,0.035,0.08,0.695,0.19,0.02,0.01,0.005,0.025,0.155,4.44
1000,89,911.015,414.15,422.285,31.14,3.23,28.64,4.61,0.57,0.395,3.785,0.77,0.095,0.035,0.08,0.73,0.205,0.025,0.01,0.005,0.025,0.16,4.46
1000,90,910.015,413.295,421.44,31.38,3.255,28.865,4.675,0.575,0.415,3.845,0.78,0.095,0.04,0.08,0.745,0.22,0.025,0.01,0.005,0.025,0.175,4.49
1000,91,909.015,412.345,420.745,31.59,3.3,29.02,4.725,0.58,0.435,3.915,0.825,0.1,0.035,0.085,0.755,0.24,0.025,0.015,0.005,0.025,0.18,4.52
1000,92,908.015,411.57,419.88,31.755,3.305,29.2,4.81,0.59,0.455,4.03,0.85,0.105,0.035,0.085,0.78,0.24,0.025,0.015,0.005,0.025,0.18,4.53
1000,93,907.015,410.685,419.07,31.975,3.315,29.44,4.89,0.61,0.47,4.09,0.865,0.105,0.035,0.09,0.785,0.255,0.025,0.015,0.005,0.025,0.185,4.555
1000,94,906.015,409.845,418.205,32.225,3.33,29.695,4.925,0.615,0.485,4.135,0.905,0.105,0.03,0.09,0.815,0.26,0.025,0.015,0.005,0.025,0.195,4.57
1000,95,905.015,409.015,417.39,32.455,3.345,29.865,4.965,0.62,0.49,4.245,0.925,0.11,0.03,0.09,0.83,0.265,0.025,0.015,0.005,0.025,0.205,4.62
1000,96,904.015,408.075,416.67,32.705,3.36,30.005,5.065,0.63,0.5,4.33,0.94,0.11,0.03,0.09,0.835,0.27,0.025,0.015,0.005,0.035,0.215,4.64
1000,97,903.02,407.185,415.885,32.92,3.39,30.22,5.155,0.64,0.51,4.385,0.945,0.11,0.03,0.09,0.855,0.285,0.025,0.02,0.005,0.035,0.215,4.675
1000,98,902.02,406.31,415.135,33.125,3.43,30.365,5.245,0.655,0.515,4.435,0.945,0.1,0.04,0.09,0.89,0.3,0.03,0.015,0.005,0.04,0.215,4.725
1000,99,901.03,405.415,414.445,33.305,3.435,30.53,5.345,0.655,0.525,4.49,0.975,0.1,0.04,0.095,0.895,0.315,0.03,0.015,0.005,0.04,0.225,4.78
1000,100,900.03,404.645,413.64,33.415,3.465,30.66,5.455,0.665,0.545,4.575,0.995,0.1,0.04,0.105,0.93,0.31,0.03,0.02,0.005,0.04,0.23,4.825
1000,101,899.03,403.815,412.815,33.615,3.5,30.86,5.535,0.67,0.56,4.62,1.005,0.1,0.045,0.105,0.96,0.32,0.03,0.02,0.005,0.035,0.24,4.845
1000,102,898.03,402.955,412.03,33.805,3.545,31.045,5.6,0.665,0.58,4.69,1.03,0.11,0.045,0.105,0.96,0.34,0.03,0.02,0.005,0.035,0.26,4.875
1000,103,897.03,402.085,411.275,33.965,3.57,31.255,5.685,0.655,0.585,4.755,1.04,0.13,0.05,0.105,0.97,0.355,0.03,0.02,0.01,0.035,0.26,4.92
1000,104,896.03,401.175,410.53,34.19,3.595,31.43,5.77,0.66,0.595,4.805,1.065,0.13,0.05,0.105,1.0,0.36,0.03,0.02,0.01,0.035,0.275,4.935
1000,105,895.03,400.305,409.795,34.405,3.615,31.54,5.83,0.665,0.605,4.905,1.085,0.135,0.055,0.105,1.02,0.37,0.03,0.02,0.01,0.04,0.28,4.955
1000,106,894.03,399.5,408.96,34.605,3.635,31.7,5.925,0.665,0.62,4.985,1.09,0.135,0.055,0.11,1.07,0.37,0.03,0.02,0.01,0.04,0.28,4.975
1000,107,893.03,398.645,408.17,34.77,3.65,31.94,6.015,0.66,0.625,5.05,1.1,0.14,0.055,0.11,1.085,0.39,0.03,0.025,0.01,0.045,0.28,5.01
1000,108,892.03,397.775,407.405,34.94,3.665,32.155,6.085,0.67,0.635,5.105,1.15,0.14,0.055,0.11,1.09,0.405,0.03,0.025,0.01,0.045,0.295,5.03
1000,109,891.03,396.905,406.645,35.07,3.705,32.38,6.16,0.685,0.64,5.135,1.205,0.145,0.055,0.11,1.125,0.42,0.03,0.025,0.01,0.045,0.285,5.04
1000,110,890.03,396.015,405.9,35.265,3.725,32.565,6.24,0.695,0.64,5.185,1.235,0.155,0.06,0.11,1.16,0.425,0.03,0.025,0.005,0.04,0.285,5.065
1000,111,889.03,395.17,405.16,35.405,3.765,32.695,6.305,0.71,0.645,5.275,1.305,0.155,0.06,0.12,1.17,0.425,0.03,0.025,0.005,0.04,0.275,5.11
1000,112,888.04,394.325,404.465,35.565,3.79,32.81,6.355,0.71,0.645,5.32,1.355,0.18,0.07,0.125,1.21,0.425,0.035,0.025,0.005,0.04,0.285,5.13
1000,113,887.04,393.535,403.67,35.71,3.79,32.995,6.425,0.725,0.65,5.375,1.405,0.18,0.075,0.135,1.23,0.425,0.035,0.025,0.005,0.04,0.295,5.165
1000,114,886.04,392.725,402.815,35.92,3.795,33.215,6.485,0.75,0.675,5.43,1.415,0.175,0.07,0.14,1.26,0.435,0.035,0.03,0.01,0.04,0.3,5.18
1000,115,885.04,392.005,401.96,36.075,3.805,33.375,6.535,0.77,0.675,5.495,1.46,0.175,0.08,0.145,1.28,0.43,0.035,0.03,0.01,0.04,0.33,5.205
1000,116,884.04,391.145,401.195,36.235,3.825,33.57,6.61,0.775,0.685,5.56,1.51,0.175,0.085,0.145,1.3,0.44,0.035,0.035,0.01,0.04,0.33,5.22
1000,117,883.04,390.245,400.505,36.42,3.85,33.72,6.65,0.785,0.695,5.6,1.58,0.18,0.085,0.145,1.33,0.445,0.035,0.035,0.01,0.04,0.335,5.25
1000,118,882.04,389.475,399.755,36.52,3.865,33.855,6.71,0.78,0.695,5.675,1.62,0.2,0.09,0.145,1.36,0.46,0.035,0.04,0.01,0.04,0.345,5.28
1000,119,881.04,388.75,398.92,36.62,3.905,34.04,6.77,0.79,0.695,5.755,1.64,0.2,0.09,0.145,1.365,0.48,0.035,0.04,0.005,0.045,0.36,5.34
1000,120,880.04,387.96,398.18,36.765,3.915,34.17,6.78,0.8,0.715,5.805,1.7,0.205,0.095,0.15,1.39,0.49,0.045,0.04,0.005,0.045,0.38,5.355
1000,121,879.05,387.105,397.415,37.02,3.925,34.33,6.8,0.8,0.72,5.89,1.75,0.2,0.095,0.145,1.41,0.495,0.05,0.045,0.005,0.045,0.385,5.38
1000,122,878.05,386.275,396.67,37.18,3.955,34.485,6.855,0.795,0.725,5.945,1.795,0.205,0.1,0.15,1.44,0.48,0.05,0.045,0.005,0.045,0.395,5.41
1000,123,877.05,385.425,395.955,37.335,3.96,34.615,6.955,0.805,0.74,6.0,1.825,0.205,0.1,0.155,1.465,0.485,0.05,0.045,0.005,0.055,0.4,5.44
1000,124,876.05,384.72,395.145,37.43,3.96,34.785,7.02,0.8,0.735,6.075,1.85,0.215,0.11,0.165,1.475,0.495,0.055,0.05,0.01,0.055,0.41,5.515
1000,125,875.05,383.82,394.455,37.6,3.96,34.945,7.115,0.81,0.75,6.13,1.875,0.215,0.11,0.165,1.49,0.515,0.055,0.05,0.01,0.055,0.42,5.55
1000,126,874.05,383.04,393.665,37.675,3.97,35.1,7.26,0.825,0.765,6.225,1.885,0.215,0.12,0.165,1.505,0.525,0.055,0.05,0.01,0.055,0.43,5.565
1000,127,873.05,382.145,392.965,37.845,3.99,35.305,7.315,0.82,0.78,6.245,1.93,0.225,0.12,0.165,1.515,0.535,0.06,0.05,0.01,0.05,0.455,5.6
1000,128,872.05,381.31,392.29,37.99,3.99,35.4,7.415,0.835,0.8,6.275,1.925,0.225,0.12,0.17,1.545,0.56,0.06,0.05,0.01,0.055,0.48,5.64
1000,129,871.05,380.485,391.605,38.105,4.02,35.485,7.485,0.85,0.805,6.355,1.955,0.225,0.12,0.17,1.56,0.57,0.07,0.05,0.015,0.055,0.5,5.69
1000,130,870.05,379.635,390.935,38.245,4.035,35.59,7.555,0.865,0.815,6.405,1.995,0.22,0.115,0.165,1.585,0.565,0.08,0.05,0.025,0.065,0.52,5.725
1000,131,869.05,378.8,390.27,38.37,4.065,35.665,7.62,0.86,0.815,6.45,2.05,0.23,0.12,0.16,1.635,0.575,0.085,0.05,0.025,0.075,0.54,5.75
1000,132,868.05,378.085,389.515,38.445,4.05,35.79,7.68,0.87,0.83,6.515,2.085,0.225,0.135,0.165,1.68,0.585,0.095,0.05,0.025,0.075,0.53,5.8
1000,133,867.05,377.325,388.765,38.54,4.07,35.91,7.735,0.875,0.84,6.59,2.135,0.235,0.135,0.165,1.7,0.6,0.095,0.055,0.025,0.075,0.55,5.84
1000,134,866.06,376.39,388.09,38.77,4.1,36.05,7.8,0.885,0.845,6.655,2.17,0.235,0.13,0.165,1.71,0.61,0.09,0.055,0.035,0.075,0.565,5.88
1000,135,865.06,375.57,387.3,38.925,4.12,36.275,7.865,0.895,0.855,6.69,2.19,0.235,0.13,0.17,1.71,0.635,0.095,0.055,0.035,0.08,0.58,5.91
1000,136,864.06,374.75,386.64,39.015,4.135,36.34,7.94,0.905,0.865,6.765,2.24,0.245,0.13,0.17,1.74,0.65,0.095,0.055,0.04,0.08,0.595,5.92
1000,137,863.06,373.965,385.97,39.1,4.145,36.385,7.98,0.915,0.88,6.875,2.29,0.245,0.13,0.185,1.765,0.67,0.09,0.05,0.04,0.08,0.6,5.94
1000,138,862.06,373.2,385.21,39.215,4.175,36.55,8.04,0.925,0.87,6.905,2.32,0.245,0.13,0.2,1.78,0.68,0.095,0.05,0.04,0.08,0.6,6.0
1000,139,861.06,372.425,384.505,39.295,4.195,36.605,8.145,0.925,0.87,7.0,2.345,0.26,0.13,0.205,1.83,0.68,0.095,0.05,0.04,0.08,0.6,6.035
1000,140,860.06,371.585,383.815,39.465,4.24,36.72,8.19,0.93,0.865,7.025,2.365,0.26,0.135,0.205,1.87,0.7,0.09,0.055,0.04,0.085,0.615,6.1
1000,141,859.06,370.72,383.175,39.605,4.23,36.835,8.255,0.935,0.86,7.09,2.405,0.25,0.15,0.21,1.9,0.715,0.09,0.06,0.045,0.085,0.6,6.125
1000,142,858.06,369.89,382.55,39.745,4.245,36.84,8.305,0.945,0.87,7.19,2.43,0.265,0.155,0.21,1.9,0.735,0.09,0.06,0.045,0.085,0.63,6.165
1000,143,857.06,369.175,381.81,39.805,4.25,36.96,8.355,0.95,0.875,7.275,2.45,0.27,0.16,0.205,1.915,0.755,0.09,0.06,0.05,0.085,0.655,6.215
