empirical_min_dist,estimated_true_dist,best_x,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
918.0,1252.8454168966591,1.2024981012585696,0.002777530816402751,54,0.4,0.4,0.4,1300
937.0,1301.9875757038358,1.2371212021206068,0.0028354287498302422,54,0.4,0.4,0.4,1400
951.0,1529.9639162180533,1.5002744535051338,0.0025618775590749575,54,0.4,0.4,0.4,1500
100.0,99.70438542168091,0.12289131042275186,0.015533945096743629,55,0.4,0.4,0.4,100
200.0,200.510943269093,0.23014837739045513,0.015723857819857457,55,0.4,0.4,0.4,200
298.0,300.926625325394,0.34111669016856433,0.016688139644501547,55,0.4,0.4,0.4,300
393.0,401.9382892038034,0.4545535989394545,0.03311621614043156,55,0.4,0.4,0.4,400
492.0,502.6930862742863,0.5326892212400087,0.026804263141104654,55,0.4,0.4,0.4,500
590.0,599.0848523067319,0.6107630923752374,0.012309043901728241,55,0.4,0.4,0.4,600
660.0,693.4872200280349,0.7243643432545286,0.006560524908391326,55,0.4,0.4,0.4,700
704.0,771.3014882287382,0.8132961137164672,0.007393596292199978,55,0.4,0.4,0.4,800
754.0,852.490103499507,0.8672853216370977,0.006466628544402449,55,0.4,0.4,0.4,900
800.0,920.6204161461299,0.9182424708514405,0.00857468464645776,55,0.4,0.4,0.4,1000
829.0,990.6599190418884,0.9724835463666801,0.005176575636881502,55,0.4,0.4,0.4,1100
856.0,1105.4201443548666,1.1066534766513945,0.002727794666884535,55,0.4,0.4,0.4,1200
874.0,1166.9578948772237,1.1609395351601206,0.0030777192163231226,55,0.4,0.4,0.4,1300
890.0,1207.6861234729722,1.1923512415933,0.0035202465818514913,55,0.4,0.4,0.4,1400
901.0,1222.1334308721366,1.195593857912438,0.004842602504390584,55,0.4,0.4,0.4,1500
100.0,100.10845348351218,0.06644578085586655,0.00513100951654489,56,0.4,0.4,0.4,100
200.0,200.9643760250478,0.20651412573544436,0.02478860630100903,56,0.4,0.4,0.4,200
300.0,299.7089758992196,0.27067294551674226,0.02341115259846229,56,0.4,0.4,0.4,300
400.0,406.22847483168096,0.37636441468079745,0.03041694845556566,56,0.4,0.4,0.4,400
499.0,511.8392071458654,0.5045065171497249,0.023638509310547028,56,0.4,0.4,0.4,500
587.0,604.8317246231421,0.6081630302671817,0.005778184909582426,56,0.4,0.4,0.4,600
658.0,701.8901530261973,0.7275026112807539,0.010171454920609788,56,0.4,0.4,0.4,700
725.0,798.5053145125538,0.8142053480238971,0.009629608904917807,56,0.4,0.4,0.4,800
772.0,879.749106688067,0.8955188585233378,0.011697530980177045,56,0.4,0.4,0.4,900
822.0,1027.8865631186472,1.0526585626136906,0.003966828104869101,56,0.4,0.4,0.4,1000
857.0,1089.987534861808,1.085204038028648,0.005225078291190863,56,0.4,0.4,0.4,1100
891.0,1225.034233266383,1.220428448767888,0.0035092056054596863,56,0.4,0.4,0.4,1200
908.0,1332.9336643531142,1.332297138982325,0.001519591269200152,56,0.4,0.4,0.4,1300
922.0,1429.9044815378727,1.4326061549053315,0.0010131352039281412,56,0.4,0.4,0.4,1400
930.0,1448.1784218126695,1.4361646794864447,0.0015131421428830091,56,0.4,0.4,0.4,1500
100.0,100.37055855384662,0.11257586218635257,0.022863607187334895,57,0.4,0.4,0.4,100
200.0,202.92082852781354,0.24278729592736298,0.03374116273623918,57,0.4,0.4,0.4,200
300.0,313.10659229571445,0.36481198488661587,0.06266675679275201,57,0.4,0.4,0.4,300
399.0,406.02065382075057,0.42711249303896953,0.014596369430359253,57,0.4,0.4,0.4,400
499.0,515.8871856370134,0.5308491671207578,0.03165130413516572,57,0.4,0.4,0.4,500
