n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,146,854.0616,746.8226,81.4466,17.7526,5.133,1.7704,6.405
1000,147,853.062,745.3308,81.6784,17.8832,5.2038,1.7988,6.4428
1000,148,852.0634,743.8444,81.9094,18.0168,5.2618,1.8324,6.482
1000,149,851.0646,742.3698,82.119,18.154,5.3286,1.8606,6.5198
1000,150,850.066,740.8918,82.3356,18.2948,5.3854,1.8934,6.563
1000,151,849.0674,739.4184,82.5472,18.4362,5.4454,1.9178,6.6048
1000,152,848.069,737.937,82.7676,18.5712,5.5114,1.95,6.6386
1000,153,847.07,736.4568,82.9918,18.7012,5.5742,1.9812,6.6746
1000,154,846.0712,734.9786,83.2112,18.8298,5.639,2.0196,6.7076
1000,155,845.0744,733.5006,83.4254,18.9784,5.6922,2.0552,6.7424
1000,156,844.0778,732.0346,83.6346,19.111,5.7542,2.0854,6.7838
1000,157,843.0778,730.5828,83.8206,19.2422,5.8174,2.1206,6.8226
1000,158,842.0778,729.1216,84.0188,19.3702,5.882,2.1558,6.857
1000,159,841.0804,727.6572,84.2206,19.5108,5.9426,2.1876,6.8994
1000,160,840.0816,726.2156,84.3972,19.6438,6.0034,2.221,6.9362
1000,161,839.0836,724.7694,84.5842,19.7666,6.0742,2.2504,6.9768
1000,162,838.084,723.3106,84.7892,19.8864,6.1358,2.2856,7.0106
1000,163,837.0864,721.8794,84.9584,20.0104,6.2038,2.3206,7.0542
1000,164,836.087,720.4362,85.1296,20.1438,6.2754,2.3526,7.0868
1000,165,835.0882,719.0002,85.2988,20.2782,6.335,2.3868,7.1242
1000,166,834.09,717.5638,85.4788,20.397,6.3994,2.422,7.1628
1000,167,833.0922,716.1228,85.665,20.5122,6.471,2.4526,7.1996
1000,168,832.0928,714.6952,85.8378,20.6268,6.5362,2.4838,7.2416
1000,169,831.0934,713.2636,86.0216,20.7354,6.6008,2.517,7.293
1000,170,830.0944,711.8398,86.1758,20.8622,6.6738,2.5494,7.331
1000,171,829.0964,710.4164,86.3414,20.9774,6.7464,2.5808,7.3714
1000,172,828.0996,708.9978,86.4878,21.1148,6.8162,2.6046,7.4086
1000,173,827.1002,707.57,86.6656,21.2208,6.8844,2.6368,7.4458
1000,174,826.102,706.1668,86.803,21.3456,6.944,2.675,7.4818
1000,175,825.1036,704.7766,86.9256,21.4636,7.0086,2.7186,7.5206
1000,176,824.1036,703.3718,87.0604,21.5856,7.0774,2.7552,7.557
1000,177,823.105,701.9622,87.2164,21.6972,7.1468,2.7846,7.605
1000,178,822.106,700.569,87.3562,21.803,7.2134,2.8186,7.656
1000,179,821.1072,699.1816,87.4888,21.91,7.2788,2.853,7.702
1000,180,820.1082,697.7782,87.6358,22.0178,7.35,2.8864,7.7404
1000,181,819.109,696.3736,87.7896,22.1202,7.4216,2.9172,7.7822
1000,182,818.1112,694.9724,87.9388,22.2202,7.4958,2.9526,7.8194
1000,183,817.1116,693.5962,88.0412,22.3472,7.5576,2.9918,7.8634
1000,184,816.1138,692.1952,88.2006,22.445,7.6188,3.0262,7.9078
1000,185,815.1156,690.8074,88.3278,22.5662,7.6766,3.061,7.951
1000,186,814.118,689.4214,88.453,22.6854,7.7444,3.0922,8.0004
1000,187,813.1202,688.0464,88.5752,22.7914,7.8084,3.1238,8.0384
1000,188,812.121,686.6626,88.7006,22.9044,7.8666,3.1662,8.0814
1000,189,811.1224,685.2874,88.828,23.0012,7.929,3.2016,8.1202
1000,190,810.1252,683.9176,88.9588,23.0934,7.9842,3.2396,8.1648
1000,191,809.1274,682.5632,89.0618,23.1924,8.0456,3.2768,8.2102
1000,192,808.1284,681.1874,89.1866,23.2966,8.1112,3.3074,8.2612
1000,193,807.1304,679.8248,89.2878,23.4134,8.1734,3.3408,8.3098
1000,194,806.131,678.4684,89.3962,23.506,8.233,3.3812,8.3556
1000,195,805.1322,677.0954,89.511,23.616,8.295,3.4146,8.3944
1000,196,804.133,675.7406,89.6146,23.7078,8.3604,3.4616,8.438
1000,197,803.1342,674.3796,89.7224,23.8088,8.4326,3.492,8.4926
1000,198,802.136,673.0234,89.8502,23.8944,8.4792,3.5322,8.5414
1000,199,801.138,671.6866,89.9364,23.9938,8.5378,3.5662,8.5942
1000,200,800.14,670.3506,90.0186,24.0938,8.5974,3.604,8.637
1000,201,799.1416,669.0126,90.1088,24.1784,8.6722,3.6424,8.691
1000,202,798.1438,667.6782,90.1894,24.2686,8.745,3.6784,8.7334
1000,203,797.1458,666.3468,90.2718,24.3622,8.8038,3.72,8.7834
1000,204,796.1464,665.0182,90.361,24.4466,8.8586,3.758,8.829
1000,205,795.1478,663.7012,90.4372,24.5284,8.9172,3.7988,8.879
1000,206,794.1488,662.3658,90.536,24.6118,8.9786,3.8302,8.9336
1000,207,793.1506,661.0428,90.613,24.7018,9.0428,3.8644,8.9848
1000,208,792.1528,659.723,90.6812,24.7924,9.1166,3.8928,9.0326
1000,209,791.1562,658.3942,90.7636,24.8954,9.1694,3.9228,9.0744
1000,210,790.1582,657.0764,90.8274,25.0008,9.2168,3.9644,9.1126
1000,211,789.1596,655.7534,90.9176,25.075,9.274,4.0052,9.1596
1000,212,788.1612,654.4422,90.975,25.1724,9.3394,4.0408,9.2188
1000,213,787.1622,653.141,91.031,25.2556,9.3968,4.0798,9.263
1000,214,786.165,651.8432,91.0922,25.3456,9.442,4.1168,9.3172
1000,215,785.1658,650.5436,91.1502,25.4302,9.4958,4.1606,9.3724
1000,216,784.1684,649.2632,91.1906,25.5098,9.5566,4.1976,9.4334
1000,217,783.1704,647.9652,91.2452,25.601,9.609,4.2386,9.4946
1000,218,782.1712,646.6646,91.3132,25.6818,9.6558,4.274,9.5502
1000,219,781.1732,645.3764,91.3498,25.777,9.71,4.311,9.5958
1000,220,780.176,644.0944,91.3994,25.8616,9.7518,4.3522,9.6554
1000,221,779.1774,642.7954,91.4602,25.9416,9.812,4.387,9.7074
1000,222,778.1792,641.5092,91.5188,26.0202,9.8518,4.4292,9.7688
