n,k,cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
2000,351,1649,1399,182,47,11,8,6
2000,352,1648,1397,183,47,11,8,6
2000,353,1647,1396,182,48,11,8,6
2000,354,1646,1394,183,48,11,8,6
2000,355,1645,1393,182,49,11,8,6
2000,356,1644,1393,181,49,11,7,7
2000,357,1643,1393,181,48,11,7,10
2000,358,1642,1391,182,48,11,7,10
2000,359,1641,1389,183,48,11,7,10
2000,360,1640,1388,182,49,11,7,10
2000,361,1639,1386,183,49,11,7,10
2000,362,1638,1384,184,49,11,7,10
2000,363,1637,1382,185,49,11,7,10
2000,364,1636,1380,186,49,11,7,10
2000,365,1635,1378,187,49,11,7,10
2000,366,1634,1376,188,49,11,7,10
2000,367,1633,1374,189,49,11,7,10
2000,368,1632,1372,190,49,11,7,10
2000,369,1631,1372,189,48,11,8,10
2000,370,1630,1371,189,48,10,9,10
2000,371,1629,1370,188,49,10,9,10
2000,372,1628,1368,189,49,10,9,10
2000,373,1627,1366,190,49,10,9,10
2000,374,1626,1365,190,48,11,9,10
2000,375,1625,1364,189,49,11,9,10
2000,376,1624,1363,188,50,11,9,10
2000,377,1623,1362,187,51,11,9,10
2000,378,1622,1360,188,51,11,9,10
2000,379,1621,1358,189,51,11,9,10
2000,380,1620,1356,190,51,11,9,10
2000,381,1619,1354,191,51,11,9,10
2000,382,1618,1352,192,51,11,9,10
2000,383,1617,1351,192,50,12,9,10
2000,384,1616,1350,191,51,12,9,10
2000,385,1615,1349,191,50,13,9,10
2000,386,1614,1347,192,50,13,9,10
2000,387,1613,1346,191,51,13,9,10
2000,388,1612,1346,190,51,13,8,10
2000,389,1611,1344,191,51,13,8,10
2000,390,1610,1344,190,50,13,9,10
2000,391,1609,1343,190,49,14,9,10
2000,392,1608,1343,188,49,15,9,10
2000,393,1607,1341,189,49,15,9,10
2000,394,1606,1340,188,50,15,9,10
2000,395,1605,1338,189,50,15,9,10
2000,396,1604,1337,189,49,16,9,10
2000,397,1603,1335,190,49,16,9,10
2000,398,1602,1333,191,49,16,9,10
2000,399,1601,1333,191,48,15,9,10
2000,400,1600,1333,190,47,15,10,10
2000,401,1599,1331,191,47,15,10,10
2000,402,1598,1331,191,47,15,9,11
2000,403,1597,1329,192,47,15,9,11
2000,404,1596,1327,193,47,15,9,11
2000,405,1595,1327,191,47,16,9,11
2000,406,1594,1325,192,47,16,9,11
2000,407,1593,1324,191,48,16,9,11
2000,408,1592,1323,191,47,17,9,11
2000,409,1591,1321,192,47,17,9,11
2000,410,1590,1320,191,48,17,9,11
2000,411,1589,1318,192,48,17,9,11
2000,412,1588,1317,192,47,18,9,11
2000,413,1587,1316,191,48,18,9,11
2000,414,1586,1315,190,49,18,9,11
2000,415,1585,1315,188,49,19,9,11
2000,416,1584,1315,187,49,18,9,11
2000,417,1583,1313,188,49,18,9,11
2000,418,1582,1312,188,49,17,10,11
2000,419,1581,1311,188,49,16,11,11
2000,420,1580,1310,187,50,16,11,11
2000,421,1579,1309,186,51,16,11,11
2000,422,1578,1309,185,51,16,10,11
2000,423,1577,1309,184,51,16,10,12
2000,424,1576,1308,183,52,16,10,12
2000,425,1575,1307,183,52,16,9,12
2000,426,1574,1306,182,53,16,9,12
2000,427,1573,1304,183,53,16,9,12
2000,428,1572,1302,184,53,16,9,12
2000,429,1571,1300,185,53,16,9,12
2000,430,1570,1298,186,53,16,9,12
2000,431,1569,1297,186,52,17,9,12
2000,432,1568,1296,186,51,18,9,12
2000,433,1567,1296,185,50,18,10,12
2000,434,1566,1296,184,50,17,10,12
2000,435,1565,1295,183,51,17,10,12
2000,436,1564,1293,184,51,17,10,12
2000,437,1563,1291,185,51,17,10,12
2000,438,1562,1291,185,50,17,9,12
2000,439,1561,1289,186,50,17,9,12
2000,440,1560,1288,185,51,17,9,12
2000,441,1559,1287,185,50,18,9,12
2000,442,1558,1286,184,51,18,9,12
2000,443,1557,1285,184,50,19,9,12
2000,444,1556,1284,183,51,19,9,12
2000,445,1555,1283,183,50,20,9,12
2000,446,1554,1283,181,50,21,9,12
2000,447,1553,1282,181,49,22,9,12
2000,448,1552,1280,182,49,22,9,12
2000,449,1551,1279,182,49,22,9,13
2000,450,1550,1278,181,50,22,9,13
2000,451,1549,1277,181,49,23,9,13
2000,452,1548,1276,181,49,22,10,13
2000,453,1547,1275,180,50,22,10,13
2000,454,1546,1273,181,50,22,10,13
2000,455,1545,1272,180,51,22,10,13
2000,456,1544,1270,181,51,22,10,13
2000,457,1543,1269,181,50,23,10,13
2000,458,1542,1268,181,50,22,11,13
2000,459,1541,1267,181,49,23,11,13
2000,460,1540,1266,181,48,24,11,13
2000,461,1539,1264,182,48,24,11,13
2000,462,1538,1262,183,48,24,11,13
2000,463,1537,1261,182,49,24,11,13
2000,464,1536,1259,183,49,24,11,13
2000,465,1535,1258,182,50,24,11,13
2000,466,1534,1256,183,50,24,11,13
2000,467,1533,1254,184,50,24,11,13
2000,468,1532,1253,184,50,24,10,13
2000,469,1531,1251,185,50,24,10,13
2000,470,1530,1249,186,50,24,10,13
2000,471,1529,1247,187,50,24,10,13
2000,472,1528,1245,188,50,24,10,13
2000,473,1527,1243,189,50,24,10,13
2000,474,1526,1242,189,49,25,10,13
2000,475,1525,1240,190,49,25,10,13
2000,476,1524,1239,190,48,26,10,13
2000,477,1523,1237,191,48,26,10,13
2000,478,1522,1236,191,47,27,10,13
2000,479,1521,1234,192,47,27,10,13
2000,480,1520,1233,192,47,26,11,13
2000,481,1519,1231,193,47,26,11,13
2000,482,1518,1230,193,46,27,11,13
2000,483,1517,1229,193,46,26,12,13
2000,484,1516,1227,194,46,26,12,13
2000,485,1515,1226,194,46,25,13,13
2000,486,1514,1225,193,47,25,13,13
2000,487,1513,1223,194,47,25,13,13
2000,488,1512,1222,193,48,25,13,13
2000,489,1511,1221,192,49,25,13,13
2000,490,1510,1219,193,49,25,13,13
2000,491,1509,1218,192,50,25,13,13
2000,492,1508,1216,193,50,25,13,13
2000,493,1507,1215,193,50,24,14,13
2000,494,1506,1214,193,50,24,14,13
2000,495,1505,1212,194,50,24,14,13
2000,496,1504,1212,193,50,24,13,13
2000,497,1503,1210,194,50,24,13,13
2000,498,1502,1208,195,50,24,13,13
2000,499,1501,1208,194,50,23,13,13
2000,500,1500,1207,193,51,23,13,13
2000,501,1499,1207,193,50,23,12,13
2000,502,1498,1205,194,50,23,12,13
2000,503,1497,1205,192,50,24,12,13
2000,504,1496,1204,192,50,24,12,13
2000,505,1495,1203,191,51,24,12,13
2000,506,1494,1203,189,51,25,12,13
2000,507,1493,1202,189,51,25,12,13
2000,508,1492,1202,188,51,24,12,13
2000,509,1491,1201,187,52,24,12,13
2000,510,1490,1200,186,53,24,12,13
2000,511,1489,1199,186,53,23,13,13
2000,512,1488,1197,187,53,23,13,13
2000,513,1487,1196,187,53,22,14,13
2000,514,1486,1194,188,53,22,14,13
2000,515,1485,1193,188,53,21,15,13
2000,516,1484,1192,188,53,20,16,13
2000,517,1483,1190,189,53,20,16,13
2000,518,1482,1189,189,52,21,16,13
2000,519,1481,1189,188,52,21,16,13
2000,520,1480,1188,187,53,21,16,13
2000,521,1479,1187,187,52,22,16,13
2000,522,1478,1186,186,53,22,16,13
2000,523,1477,1184,187,53,22,16,13
2000,524,1476,1183,186,54,22,16,13
2000,525,1475,1182,186,53,23,16,13
2000,526,1474,1180,187,53,23,16,13
2000,527,1473,1180,187,53,22,15,13
2000,528,1472,1178,188,53,22,15,13
2000,529,1471,1177,188,53,22,15,14
2000,530,1470,1176,188,52,23,15,14
2000,531,1469,1175,188,52,23,14,14
2000,532,1468,1173,189,52,23,14,14
2000,533,1467,1172,189,51,24,14,14
2000,534,1466,1170,190,51,24,14,14
2000,535,1465,1170,190,50,23,14,14
2000,536,1464,1170,189,50,23,13,14
2000,537,1463,1169,188,51,23,13,14
2000,538,1462,1168,188,50,24,13,14
2000,539,1461,1166,189,50,24,13,14
2000,540,1460,1165,189,50,24,13,14
2000,541,1459,1164,189,49,25,13,14
2000,542,1458,1162,190,49,25,13,14
2000,543,1457,1160,191,49,25,13,14
2000,544,1456,1159,190,50,25,13,14
2000,545,1455,1159,190,50,24,12,14
2000,546,1454,1157,191,50,24,12,14
2000,547,1453,1156,190,51,24,12,14
2000,548,1452,1156,189,50,24,13,14
2000,549,1451,1155,188,51,24,13,14
