n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,66,934.0129,435.2168,441.0161,25.1203,2.5768,23.1927,2.8512,0.2856,0.2694,2.4019,0.432,0.0536,0.0342,0.0421,0.3306,0.0743,0.0098,0.0063,0.0051,0.0061,0.052,3.9101
1000,67,933.0132,434.2935,440.187,25.3951,2.6093,23.4518,2.9173,0.2934,0.2768,2.4609,0.4502,0.0559,0.0359,0.0437,0.3422,0.0784,0.0098,0.0068,0.0055,0.0065,0.0545,3.9394
1000,68,932.0142,433.3719,439.3522,25.6732,2.6376,23.718,2.9871,0.3006,0.2832,2.5186,0.4661,0.0584,0.0367,0.0451,0.3543,0.0828,0.0108,0.0071,0.0056,0.007,0.0578,3.9647
1000,69,931.0146,432.453,438.5329,25.9368,2.6642,23.9655,3.0629,0.308,0.2927,2.5796,0.4849,0.0601,0.0381,0.0467,0.368,0.0857,0.0116,0.0076,0.006,0.0077,0.0604,3.9916
1000,70,930.0152,431.5415,437.7036,26.2079,2.6897,24.2144,3.1355,0.3148,0.299,2.6444,0.4995,0.0619,0.0395,0.0489,0.3809,0.0901,0.0121,0.0078,0.0062,0.0085,0.0637,4.0182
1000,71,929.0157,430.6396,436.8698,26.4723,2.7203,24.4623,3.202,0.3211,0.3055,2.706,0.5183,0.0639,0.0421,0.0498,0.3962,0.0943,0.0125,0.008,0.0064,0.0094,0.0672,4.0484
1000,72,928.0161,429.7247,436.0485,26.7304,2.7468,24.7191,3.2754,0.3277,0.3142,2.7623,0.5367,0.0664,0.0437,0.0519,0.4084,0.0988,0.0133,0.0086,0.0068,0.0099,0.0702,4.0764
1000,73,927.0164,428.8143,435.2255,26.9948,2.7704,24.9695,3.3446,0.3358,0.3204,2.8229,0.5543,0.0683,0.0451,0.0533,0.4235,0.1044,0.0138,0.0094,0.0073,0.0108,0.0723,4.1049
1000,74,926.0171,427.9168,434.3994,27.2498,2.7994,25.2081,3.4143,0.3435,0.3291,2.8844,0.574,0.07,0.0463,0.0555,0.4384,0.1087,0.0139,0.0095,0.0077,0.0113,0.0777,4.1332
1000,75,925.0176,427.0022,433.59,27.5092,2.8206,25.453,3.486,0.3524,0.3372,2.9393,0.5924,0.072,0.0476,0.0579,0.4557,0.1137,0.0147,0.0101,0.0079,0.0115,0.0806,4.1608
1000,76,924.0185,426.1089,432.7645,27.7592,2.8451,25.6936,3.5567,0.3597,0.3436,3.0055,0.6104,0.075,0.0491,0.0594,0.4706,0.1194,0.0162,0.0104,0.0082,0.0116,0.0838,4.1882
1000,77,923.0187,425.21,431.9394,28.0142,2.869,25.9383,3.6257,0.3675,0.3511,3.069,0.6265,0.0766,0.0509,0.0614,0.486,0.1257,0.0176,0.0106,0.0082,0.0126,0.0863,4.2171
1000,78,922.0189,424.3172,431.1149,28.2678,2.897,26.1705,3.6968,0.374,0.357,3.1336,0.6439,0.0788,0.0521,0.0636,0.5023,0.1301,0.0181,0.0114,0.0086,0.0132,0.0911,4.2466
1000,79,921.0198,423.4397,430.2867,28.4926,2.9223,26.4121,3.7764,0.3813,0.3656,3.1978,0.6646,0.0819,0.0533,0.0657,0.5154,0.1338,0.0186,0.0117,0.009,0.0141,0.0951,4.2723
1000,80,920.0209,422.5603,429.4625,28.7315,2.9412,26.6437,3.8485,0.389,0.3746,3.2672,0.6843,0.0852,0.0543,0.0678,0.531,0.1385,0.0192,0.0126,0.0092,0.0148,0.0985,4.298
1000,81,919.0212,421.6685,428.6479,28.9675,2.9639,26.8811,3.9202,0.3987,0.3837,3.328,0.7078,0.0869,0.0555,0.0689,0.5464,0.144,0.0198,0.0131,0.0101,0.0154,0.1019,4.3266
1000,82,918.0214,420.792,427.8202,29.193,2.989,27.1218,3.9982,0.4067,0.3912,3.3891,0.7274,0.0887,0.0566,0.0703,0.5638,0.1497,0.021,0.0137,0.0113,0.0159,0.105,4.3522
1000,83,917.0219,419.897,427.0127,29.4326,3.0122,27.349,4.076,0.4143,0.3965,3.4524,0.7457,0.0916,0.0588,0.0722,0.5807,0.1552,0.0209,0.014,0.0118,0.0163,0.1094,4.3796
1000,84,916.0224,419.028,426.1923,29.6543,3.0378,27.5731,4.1459,0.4229,0.4045,3.5198,0.7694,0.0945,0.0607,0.0736,0.5968,0.1617,0.0216,0.0143,0.0123,0.0175,0.1135,4.4092
1000,85,915.023,418.1475,425.3913,29.8746,3.0616,27.7869,4.2228,0.4323,0.4105,3.587,0.7921,0.0969,0.0627,0.0748,0.6138,0.167,0.0224,0.0149,0.013,0.0179,0.1187,4.4378
1000,86,914.0236,417.2729,424.5738,30.1073,3.0857,28.0089,4.2866,0.4415,0.4184,3.6555,0.8159,0.0995,0.0646,0.0765,0.6287,0.1731,0.0236,0.0154,0.0133,0.0187,0.1239,4.4643
1000,87,913.024,416.38,423.7729,30.3418,3.1086,28.2353,4.3564,0.4488,0.4254,3.714,0.8402,0.1025,0.066,0.0786,0.6474,0.179,0.0248,0.0158,0.0138,0.0194,0.1278,4.4909
1000,88,912.0246,415.5149,422.9675,30.5536,3.1355,28.4392,4.4291,0.4577,0.4324,3.7851,0.8625,0.1052,0.0681,0.0808,0.6651,0.1862,0.0255,0.016,0.0148,0.0207,0.1322,4.5195
1000,89,911.0252,414.6378,422.1611,30.7794,3.1601,28.656,4.5016,0.4653,0.4379,3.8492,0.8834,0.108,0.0702,0.0831,0.684,0.1912,0.0265,0.0166,0.0149,0.0209,0.1377,4.5477
1000,90,910.0259,413.7578,421.3624,30.9963,3.183,28.8742,4.5781,0.4735,0.4432,3.911,0.9063,0.1104,0.0721,0.0856,0.703,0.1981,0.0277,0.0172,0.0151,0.0219,0.1427,4.5745
1000,91,909.0266,412.886,420.5615,31.2119,3.2093,29.0883,4.6459,0.4811,0.45,3.9724,0.9326,0.1123,0.0725,0.0874,0.7225,0.206,0.0286,0.0183,0.0156,0.023,0.1478,4.6028
1000,92,908.0277,412.0278,419.7637,31.4055,3.2324,29.2885,4.7315,0.4891,0.4578,4.0406,0.9547,0.1149,0.0745,0.0883,0.7445,0.2128,0.0291,0.0189,0.0163,0.0245,0.1519,4.6299
1000,93,907.0285,411.1623,418.9668,31.6159,3.2521,29.4978,4.8035,0.4977,0.4655,4.1022,0.9783,0.1181,0.0752,0.0905,0.7637,0.2207,0.03,0.0193,0.017,0.025,0.158,4.6606
1000,94,906.0297,410.3015,418.1663,31.8185,3.2756,29.7095,4.8813,0.5041,0.4729,4.1632,0.9971,0.1219,0.0772,0.093,0.783,0.231,0.0304,0.0196,0.0179,0.0257,0.1631,4.6932
1000,95,905.0297,409.4557,417.3662,32.0051,3.2953,29.9065,4.9643,0.512,0.4809,4.2332,1.0197,0.125,0.0785,0.095,0.8032,0.2377,0.0311,0.0205,0.0186,0.0268,0.1691,4.7227
1000,96,904.0308,408.5937,416.5724,32.2152,3.3177,30.1,5.0389,0.5177,0.4871,4.3048,1.0408,0.1288,0.0806,0.0981,0.8202,0.2456,0.0319,0.0208,0.0194,0.0276,0.1759,4.7515
1000,97,903.0314,407.7345,415.7932,32.4078,3.3392,30.2867,5.1146,0.5258,0.4938,4.3738,1.0646,0.1309,0.0828,0.1003,0.8401,0.2543,0.0335,0.0218,0.0203,0.0286,0.1812,4.7833
