n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,51,949.006,449.521,453.473,20.447,2.1,19.102,1.896,0.213,0.145,1.581,0.221,0.028,0.019,0.017,0.174,0.022,0.001,0.003,0.004,0.001,0.022,3.524
1000,52,948.007,448.577,452.619,20.771,2.13,19.392,1.947,0.216,0.149,1.639,0.238,0.032,0.022,0.017,0.183,0.025,0.001,0.003,0.005,0.001,0.024,3.551
1000,53,947.007,447.669,451.739,21.071,2.159,19.683,2.012,0.221,0.152,1.697,0.249,0.034,0.024,0.019,0.197,0.027,0.001,0.003,0.005,0.001,0.027,3.58
1000,54,946.011,446.678,450.92,21.411,2.206,19.97,2.063,0.226,0.16,1.735,0.268,0.037,0.025,0.02,0.207,0.028,0.001,0.003,0.005,0.001,0.03,3.608
1000,55,945.011,445.736,450.068,21.714,2.235,20.276,2.122,0.229,0.171,1.781,0.285,0.04,0.025,0.02,0.216,0.032,0.001,0.004,0.005,0.001,0.03,3.639
1000,56,944.011,444.797,449.206,22.034,2.257,20.58,2.187,0.23,0.176,1.836,0.289,0.043,0.027,0.02,0.225,0.037,0.001,0.004,0.006,0.001,0.032,3.666
1000,57,943.012,443.948,448.28,22.301,2.276,20.898,2.248,0.237,0.184,1.891,0.306,0.044,0.027,0.021,0.241,0.036,0.002,0.004,0.006,0.003,0.033,3.7
1000,58,942.013,442.964,447.453,22.64,2.307,21.182,2.321,0.242,0.188,1.943,0.311,0.048,0.026,0.021,0.254,0.037,0.002,0.005,0.006,0.003,0.032,3.719
1000,59,941.015,442.053,446.601,22.909,2.347,21.448,2.4,0.25,0.192,2.009,0.321,0.05,0.025,0.024,0.266,0.041,0.002,0.005,0.007,0.003,0.032,3.743
1000,60,940.016,441.107,445.769,23.226,2.376,21.711,2.458,0.256,0.202,2.065,0.334,0.052,0.025,0.028,0.279,0.043,0.002,0.006,0.007,0.003,0.035,3.775
1000,61,939.016,440.165,444.927,23.523,2.41,22.0,2.523,0.261,0.209,2.116,0.351,0.054,0.025,0.028,0.282,0.045,0.003,0.006,0.008,0.003,0.043,3.8
1000,62,938.016,439.245,444.055,23.828,2.438,22.293,2.583,0.268,0.216,2.178,0.36,0.054,0.028,0.028,0.292,0.05,0.003,0.006,0.008,0.004,0.042,3.824
1000,63,937.016,438.313,443.228,24.106,2.456,22.569,2.652,0.28,0.227,2.229,0.382,0.055,0.028,0.03,0.304,0.052,0.004,0.006,0.009,0.004,0.044,3.85
