empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_ab,best_p_bb,best_alpha,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
927.0,1399.265038604335,1.3768064421544657,0.23,0.33,0.44,0.28394297450047196,0.002227426568918741,2,0.4,0.4,0.4,1500
100.0,100.59339500460653,0.12503935720128279,0.34,0.26,0.3999999999999999,0.4641151031544525,0.03234121295452707,3,0.4,0.4,0.4,100
298.0,306.30483301433713,0.2927753181148007,0.3,0.26,0.43999999999999995,0.6881035401117467,0.026841819448377942,3,0.4,0.4,0.4,300
496.0,503.5432423250693,0.007278729419926645,0.060000000000000005,0.0,0.94,0.9882771740641205,0.023805507641239627,3,0.4,0.4,0.4,500
664.0,785.4040960234166,0.8046471403267299,0.68,0.01,0.30999999999999994,0.8568740730493469,0.006846724766518451,3,0.4,0.4,0.4,700
772.0,894.1891744811702,0.6672557180573724,0.01,0.06,0.9299999999999999,0.34224446096252503,0.008183697677675779,3,0.4,0.4,0.4,900
850.0,1439.7699001140616,0.0007255464948662882,0.98,0.01,0.010000000000000018,0.00043313491171870347,0.0021973795440414006,3,0.4,0.4,0.4,1100
891.0,1514.06342641574,1.223081345803147,0.98,0.01,0.010000000000000018,0.7253190201395064,0.001554277072640165,3,0.4,0.4,0.4,1300
917.0,1434.0340735501156,1.4371409830396629,0.31,0.33,0.35999999999999993,0.35388958358274275,0.0003877999949887452,3,0.4,0.4,0.4,1500
100.0,101.40946641891186,0.06506086700842162,0.97,0.01,0.020000000000000025,0.48379725007116064,0.03838303425908963,4,0.4,0.4,0.4,100
300.0,301.41252313728944,0.08380261885899726,0.09999999999999999,0.09,0.81,0.8116497883033118,0.013747090256047218,4,0.4,0.4,0.4,300
500.0,516.014344013295,0.4072064730452773,0.64,0.12,0.24,0.4015166141272484,0.008542818070105205,4,0.4,0.4,0.4,500
663.0,783.9269912996147,0.7108059237874571,0.74,0.09,0.17,0.5009391052525437,0.011948641514708275,4,0.4,0.4,0.4,700
781.0,1187.6337736451198,1.2389662671605202,0.79,0.0,0.20999999999999996,0.5801672493542691,0.009972527900004594,4,0.4,0.4,0.4,900
852.0,1148.816099593857,1.180883391734693,0.52,0.01,0.47,0.44121802131310217,0.0021968668198336875,4,0.4,0.4,0.4,1100
903.0,1493.2631095488425,1.2989810417878198,0.02,0.24,0.74,0.441657994084321,0.00028490356115358837,4,0.4,0.4,0.4,1300
934.0,1579.9816283767993,1.398222236024194,0.01,0.21,0.78,0.36829213728937626,0.0008940165092234762,4,0.4,0.4,0.4,1500
100.0,103.13394856519989,0.0020506321522057312,0.26,0.07,0.6699999999999999,0.0010924937207074316,0.02772742948204521,5,0.4,0.4,0.4,100
300.0,309.1993784194845,0.31373402378614695,0.88,0.01,0.11,0.9692716210086978,0.02573670299791325,5,0.4,0.4,0.4,300
498.0,504.61167224364664,0.4473320913541909,0.54,0.02,0.43999999999999995,0.34819036752239857,0.013737491369624821,5,0.4,0.4,0.4,500
664.0,681.7576030325871,0.6608800098278573,0.7100000000000001,0.08,0.2099999999999999,0.6693148378846956,0.009252179904590877,5,0.4,0.4,0.4,700
