k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
133,1.1821476079728146e-05,1.3134973421920163e-06,1.1821476079728146e-05,1.3134973421920163e-06,0.3832195637505096,0.3832195637505096,0.7664391275010192,0.035157621829446734,0.035157621829446734,0.007812804850988163,0.07812804850988163,0.006450914773793283,0.006450914773793283,0.001513177539531758,0.001513177539531758,0.01592818462665008,0.001578199330266411,0.001578199330266411,0.00042431696671085947,0.00032473237248280057,0.0004243169667108594,0.0043297649664373414,0.0004524636500316753,0.0004524636500316753,0.0001397265128184999,9.743588505666109e-05,9.743588505666106e-05,0.00013972651281849986,0.0013792520958136726,0.00048589977184684873,0.00018352412329875596,7.294779978284541e-05,3.0149952798995164e-05,1.285133885593662e-05
134,1.2395505281293506e-05,1.3772783645881674e-06,1.2395505281293506e-05,1.3772783645881674e-06,0.382453890551432,0.382453890551432,0.764907781102864,0.03528055998957993,0.03528055998957993,0.007840124442128876,0.07840124442128873,0.006509113615676292,0.006509113615676292,0.0015268291197265383,0.0015268291197265383,0.01607188547080566,0.0016012051235126275,0.0016012051235126275,0.0004305023377345338,0.00032946607479683696,0.00043050233773453373,0.004392880997291159,0.00046158679852768657,0.00046158679852768657,0.0001425438567646573,9.940051149272948e-05,9.940051149272944e-05,0.00014254385676465726,0.0014070623335701465,0.0004984262977912849,0.0001892918779042242,7.565464321908962e-05,3.144087290929374e-05,1.3475376305470482e-05
135,1.2990895110559881e-05,1.443432790062209e-06,1.2990895110559881e-05,1.443432790062209e-06,0.3816897471684266,0.3816897471684266,0.7633794943368531,0.03540195633171987,0.03540195633171987,0.007867101407048863,0.07867101407048861,0.006567105988099614,0.006567105988099614,0.00154043226881349,0.00154043226881349,0.016215076513826206,0.0016242748716984493,0.0016242748716984493,0.0004367049037762636,0.00033421293656346693,0.0004367049037762635,0.0044561724875128925,0.0004707890088183693,0.0004707890088183693,0.0001453856159955913,0.00010138216350850446,0.00010138216350850445,0.00014538561599559128,0.0014351135766449302,0.0005111334051429192,0.00019517566950341214,7.84313457281616e-05,3.277246100980701e-05,1.412263527682699e-05
136,1.3608161208914447e-05,1.5120179121016053e-06,1.3608161208914447e-05,1.5120179121016053e-06,0.3809271305449188,0.3809271305449188,0.7618542610898376,0.03552182120661344,0.03552182120661344,0.0078937380459141,0.07893738045914098,0.006624887967573215,0.006624887967573215,0.001553986066467792,0.001553986066467792,0.016357748068082014,0.0016474057951632692,0.0016474057951632692,0.00044292391749245675,0.0003389723858360637,0.0004429239174924567,0.004519631811147515,0.0004800692952318801,0.0004800692952318801,0.0001482514861233375,0.00010338062884426449,0.00010338062884426446,0.00014825148612333748,0.0014634028203989642,0.000524020685368354,0.00020117610445909118,8.127873469685101e-05,3.414545260638496e-05,1.4793676333014521e-05
137,1.4247822136098614e-05,1.5830913484554016e-06,1.4247822136098614e-05,1.5830913484554016e-06,0.38016603763044104,0.38016603763044104,0.7603320752608821,0.035640164906937534,0.035640164906937534,0.007920036645986122,0.07920036645986119,0.0066824557107254415,0.0066824557107254415,0.0015674896111578201,0.0015674896111578201,0.016499890643766522,0.0016705951255616366,0.0016705951255616366,0.00044915863458172973,0.00034374385299622165,0.0004491586345817297,0.004583251373282955,0.0004894266573203683,0.0004894266573203683,0.0001511411581969128,0.00010539569205834512,0.0001053956920583451,0.00015114115819691277,0.0014919270151512527,0.000537087680670338,0.0002072937577041813,8.419762356358326e-05,3.556058062266306e-05,1.5489063209636734e-05
138,1.4910399111229178e-05,1.6567110123587975e-06,1.4910399111229178e-05,1.6567110123587975e-06,0.37940646538062067,0.37940646538062067,0.7588129307612413,0.03575699766759785,0.03575699766759785,0.007945999481688412,0.07945999481688411,0.006739805453330605,0.006739805453330605,0.0015809420199170553,0.0015809420199170553,0.01664149494649532,0.001693840106339353,0.001693840106339353,0.0004554083139129125,0.0003485267708517187,0.00045540831391291235,0.00464702361135625,0.0004988600803008478,0.0004988600803008478,0.00015405431883846264,0.00010742713462207924,0.00010742713462207922,0.00015405431883846262,0.0015206830675227794,0.0005503338843765643,0.0002135291724801136,8.718881134712953e-05,3.7018574978477465e-05,1.6209362533352002e-05
139,1.559641574940532e-05,1.7329350832672576e-06,1.559641574940532e-05,1.7329350832672576e-06,0.37864841075716776,0.37864841075716776,0.7572968215143355,0.035872329666026,0.035872329666026,0.007971628814672447,0.07971628814672445,0.006796933509346254,0.006796933509346254,0.0015943424281182573,0.0015943424281182573,0.016782551874929025,0.001717137993195445,0.001717137993195445,0.0004616722176492557,0.0003533205747315731,0.00046167221764925555,0.004710940996420974,0.0005083685354937087,0.0005083685354937087,0.000156990650378679,0.00010947473501422822,0.00010947473501422818,0.00015699065037867897,0.0015496678417732314,0.0005637587413452629,0.00021988286009318197,9.025308218440024e-05,3.8520162168555884e-05,1.6955143535534152e-05
140,1.6306397794124534e-05,1.8118219771249481e-06,1.6306397794124534e-05,1.8118219771249481e-06,0.37789187072786273,0.37789187072786273,0.7557837414557255,0.035986171022475345,0.035986171022475345,0.007996926893883411,0.0799692689388341,0.006853836269960073,0.006853836269960073,0.0016076899892498934,0.0016076899892498934,0.016923052518419933,0.0017404860545302868,0.0017404860545302868,0.00046794961136891123,0.00035812470257824827,0.00046794961136891106,0.004774996034376644,0.0005179509807587381,0.0005179509807587381,0.00015994983099144853,0.00011153826881487665,0.00011153826881487664,0.0001599498309914485,0.0015788781611301265,0.0005773616483870577,0.00022635529968878382,9.339120487756875e-05,4.006606484181637e-05,1.7726977761377068e-05
141,1.704087284573373e-05,1.8934303161926367e-06,1.704087284573373e-05,1.8934303161926367e-06,0.3771368422665445,0.3771368422665445,0.754273684533089,0.03609853180031527,0.03609853180031527,0.008021895955625618,0.08021895955625616,0.006910510202646254,0.006910510202646254,0.0016209838746948006,0.0016209838746948006,0.01706298815468211,0.0017638815718801016,0.0017638815718801016,0.000474239764181756,0.0003629385950370581,0.00047423976418175585,0.004839181267160772,0.00052760636092852,0.00052760636092852,0.0001629315348276929,0.00011361750879876357,0.00011361750879876354,0.00016293153482769288,0.001608310809109953,0.0005911419547025553,0.00023294693804343708,9.660393245075761e-05,4.165700138160123e-05,1.8525438774688888e-05
142,1.7800370086144116e-05,1.9778188984604574e-06,1.7800370086144116e-05,1.9778188984604574e-06,0.3763833223530981,0.3763833223530981,0.7527666447061963,0.036209422006324155,0.036209422006324155,0.008046538223627593,0.0804653822362759,0.006966951850231363,0.006966951850231363,0.0016342232735110608,0.0016342232735110608,0.017202350247484847,0.0017873218403381208,0.0017873218403381208,0.00048054194884262244,0.00036776169554282324,0.00048054194884262233,0.00490348927390431,0.0005373336082390963,0.0005373336082390963,0.00016593543214836123,0.00011571222502802237,0.00011571222502802236,0.0001659354321483612,0.0016379625308309597,0.000605098962335148,0.000239658189374454,9.989200171651175e-05,4.329368548717027e-05,1.9351101858624774e-05
