n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,147,853.08,749.39,77.08,17.11,5.75,2.07,7.23
1000,148,852.08,747.85,77.33,17.3,5.82,2.07,7.25
1000,149,851.08,746.39,77.56,17.39,5.9,2.07,7.28
1000,150,850.08,744.95,77.75,17.48,5.99,2.11,7.33
1000,151,849.08,743.57,77.9,17.53,6.08,2.16,7.42
1000,152,848.08,742.13,78.09,17.64,6.17,2.2,7.51
1000,153,847.08,740.78,78.19,17.73,6.24,2.23,7.57
1000,154,846.08,739.27,78.55,17.76,6.31,2.23,7.69
1000,155,845.08,737.86,78.7,17.92,6.31,2.24,7.73
1000,156,844.08,736.54,78.74,18.04,6.37,2.25,7.78
1000,157,843.08,735.19,78.79,18.22,6.39,2.29,7.84
1000,158,842.08,733.85,78.85,18.34,6.48,2.35,7.94
1000,159,841.08,732.48,79.06,18.31,6.55,2.4,8.01
1000,160,840.08,731.08,79.21,18.4,6.62,2.44,8.03
1000,161,839.08,729.73,79.31,18.55,6.55,2.55,8.06
1000,162,838.08,728.33,79.46,18.67,6.6,2.56,8.09
1000,163,837.08,726.9,79.73,18.68,6.65,2.6,8.15
1000,164,836.08,725.44,79.97,18.73,6.75,2.62,8.16
1000,165,835.08,724.02,80.21,18.75,6.79,2.67,8.19
1000,166,834.08,722.52,80.47,18.88,6.87,2.67,8.27
1000,167,833.08,721.18,80.49,19.05,6.95,2.71,8.31
1000,168,832.08,719.83,80.57,19.19,6.96,2.77,8.35
1000,169,831.08,718.35,80.87,19.27,6.98,2.77,8.4
1000,170,830.08,717.1,80.84,19.39,7.03,2.83,8.45
1000,171,829.08,715.81,80.9,19.43,7.11,2.86,8.49
1000,172,828.08,714.49,81.04,19.45,7.16,2.89,8.59
1000,173,827.08,713.09,81.1,19.65,7.24,2.95,8.61
1000,174,826.08,711.66,81.24,19.84,7.29,2.98,8.64
1000,175,825.08,710.41,81.19,20.04,7.29,3.02,8.73
1000,176,824.1,708.98,81.38,20.15,7.37,3.05,8.73
1000,177,823.1,707.57,81.56,20.27,7.37,3.11,8.79
1000,178,822.1,706.07,81.82,20.46,7.34,3.16,8.86
1000,179,821.1,704.71,81.9,20.61,7.38,3.2,8.92
1000,180,820.1,703.29,82.07,20.74,7.44,3.25,9.01
1000,181,819.1,701.9,82.23,20.82,7.5,3.28,9.03
1000,182,818.1,700.6,82.28,20.87,7.56,3.37,9.06
1000,183,817.1,699.31,82.27,20.98,7.7,3.37,9.13
1000,184,816.1,697.99,82.32,21.1,7.78,3.41,9.16
1000,185,815.12,696.69,82.46,21.17,7.73,3.48,9.2
1000,186,814.12,695.33,82.57,21.27,7.78,3.5,9.22
1000,187,813.12,693.92,82.78,21.39,7.75,3.57,9.24
1000,188,812.12,692.52,82.96,21.46,7.81,3.6,9.31
1000,189,811.12,691.22,83.04,21.51,7.87,3.63,9.36
1000,190,810.12,690.04,82.96,21.62,7.87,3.67,9.45
1000,191,809.12,688.59,83.17,21.7,7.97,3.69,9.46
1000,192,808.12,687.21,83.29,21.82,8.01,3.76,9.52
1000,193,807.12,685.97,83.32,21.86,8.08,3.78,9.62
1000,194,806.12,684.63,83.45,21.91,8.13,3.84,9.67
1000,195,805.12,683.3,83.62,21.91,8.15,3.89,9.75
1000,196,804.14,682.09,83.7,21.89,8.19,3.93,9.82
