n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,142,858.13,751.72,82.18,17.15,4.57,1.62,6.19
1000,143,857.13,750.12,82.54,17.29,4.64,1.64,6.22
1000,144,856.13,748.6,82.77,17.5,4.65,1.69,6.23
1000,145,855.13,747.08,83.0,17.68,4.7,1.73,6.23
1000,146,854.13,745.59,83.23,17.84,4.71,1.78,6.25
1000,147,853.13,744.05,83.52,18.0,4.75,1.79,6.32
1000,148,852.13,742.56,83.77,18.14,4.74,1.87,6.36
1000,149,851.13,741.1,83.99,18.23,4.8,1.93,6.39
1000,150,850.13,739.64,84.12,18.44,4.87,1.95,6.42
1000,151,849.15,738.17,84.43,18.46,4.95,1.98,6.46
1000,152,848.15,736.74,84.55,18.6,5.05,2.04,6.47
1000,153,847.15,735.26,84.75,18.74,5.14,2.07,6.52
1000,154,846.17,733.89,84.8,18.93,5.22,2.12,6.54
1000,155,845.17,732.52,84.91,18.99,5.34,2.16,6.61
1000,156,844.17,731.07,85.04,19.18,5.42,2.19,6.65
1000,157,843.17,729.58,85.35,19.25,5.46,2.19,6.71
1000,158,842.18,728.22,85.37,19.46,5.55,2.23,6.77
1000,159,841.18,726.84,85.41,19.62,5.68,2.27,6.8
1000,160,840.18,725.5,85.47,19.79,5.74,2.23,6.94
1000,161,839.18,724.18,85.51,19.91,5.76,2.33,6.98
1000,162,838.18,722.77,85.6,20.1,5.83,2.33,7.01
1000,163,837.18,721.33,85.88,20.09,5.87,2.42,7.08
1000,164,836.18,719.77,86.23,20.17,5.95,2.44,7.09
1000,165,835.18,718.3,86.47,20.28,5.98,2.49,7.14
1000,166,834.18,716.82,86.77,20.27,6.09,2.55,7.18
1000,167,833.18,715.33,86.99,20.43,6.15,2.56,7.23
1000,168,832.18,713.9,87.25,20.41,6.26,2.57,7.27
1000,169,831.18,712.47,87.34,20.61,6.35,2.61,7.3
1000,170,830.18,711.08,87.45,20.76,6.4,2.63,7.34
1000,171,829.18,709.62,87.61,20.94,6.45,2.67,7.35
1000,172,828.18,708.18,87.67,21.26,6.49,2.68,7.44
1000,173,827.18,706.82,87.67,21.47,6.59,2.71,7.48
1000,174,826.19,705.42,87.7,21.72,6.7,2.7,7.51
1000,175,825.2,703.96,87.85,21.89,6.81,2.74,7.52
1000,176,824.2,702.45,88.14,21.98,6.88,2.74,7.56
1000,177,823.2,700.99,88.39,22.01,6.95,2.82,7.59
1000,178,822.2,699.71,88.3,22.25,6.99,2.86,7.66
1000,179,821.2,698.29,88.46,22.38,7.05,2.89,7.68
1000,180,820.2,696.92,88.57,22.47,7.11,2.97,7.72
1000,181,819.2,695.51,88.83,22.44,7.2,2.98,7.78
1000,182,818.2,694.2,88.88,22.53,7.27,3.03,7.88
1000,183,817.2,692.77,89.07,22.69,7.28,3.03,7.95
1000,184,816.21,691.31,89.31,22.82,7.3,3.04,7.97
1000,185,815.21,689.95,89.44,22.9,7.39,3.05,8.03
1000,186,814.21,688.59,89.56,22.93,7.54,3.07,8.09
1000,187,813.21,687.17,89.69,23.05,7.68,3.07,8.13
1000,188,812.21,685.87,89.68,23.18,7.76,3.13,8.14
1000,189,811.21,684.42,89.91,23.26,7.87,3.1,8.19
1000,190,810.21,683.03,90.08,23.37,7.89,3.12,8.26
1000,191,809.21,681.6,90.26,23.53,7.88,3.16,8.28
1000,192,808.21,680.14,90.47,23.62,7.99,3.17,8.29
1000,193,807.21,678.8,90.57,23.7,8.07,3.17,8.33
1000,194,806.21,677.54,90.54,23.87,8.1,3.17,8.41
1000,195,805.21,676.09,90.71,24.06,8.1,3.23,8.46
1000,196,804.21,674.84,90.72,24.06,8.21,3.3,8.47
1000,197,803.21,673.44,90.84,24.17,8.3,3.35,8.49
1000,198,802.21,672.06,90.98,24.26,8.36,3.37,8.51
1000,199,801.21,670.73,91.03,24.29,8.55,3.41,8.54
1000,200,800.21,669.38,91.15,24.38,8.61,3.43,8.64
1000,201,799.21,668.13,91.13,24.43,8.7,3.49,8.66
1000,202,798.21,666.66,91.45,24.5,8.7,3.51,8.8
1000,203,797.21,665.32,91.49,24.64,8.76,3.58,8.84
1000,204,796.21,663.93,91.57,24.79,8.84,3.63,8.85
1000,205,795.21,662.58,91.64,24.96,8.86,3.67,8.92
1000,206,794.21,661.24,91.78,24.99,8.88,3.77,8.96
1000,207,793.21,659.87,91.86,25.16,8.9,3.82,8.99
1000,208,792.21,658.52,91.98,25.16,9.04,3.88,9.03
1000,209,791.21,657.17,92.16,25.2,9.08,3.9,9.13
1000,210,790.21,655.92,92.16,25.25,9.2,3.88,9.19
1000,211,789.21,654.48,92.37,25.34,9.26,3.93,9.25
1000,212,788.22,653.14,92.51,25.42,9.24,4.03,9.29
1000,213,787.22,651.91,92.47,25.54,9.26,4.05,9.35
1000,214,786.22,650.64,92.45,25.62,9.35,4.1,9.37
1000,215,785.24,649.44,92.44,25.67,9.41,4.14,9.42
1000,216,784.24,648.14,92.59,25.6,9.51,4.17,9.46
1000,217,783.24,646.88,92.67,25.65,9.58,4.19,9.59
1000,218,782.24,645.61,92.65,25.8,9.64,4.22,9.7
1000,219,781.24,644.3,92.69,25.93,9.67,4.27,9.76
1000,220,780.24,642.91,92.8,26.1,9.68,4.3,9.78
1000,221,779.24,641.74,92.75,26.08,9.76,4.39,9.81
1000,222,778.24,640.51,92.65,26.24,9.84,4.41,9.81
1000,223,777.24,639.23,92.62,26.38,9.88,4.52,9.84
1000,224,776.25,638.15,92.46,26.36,10.0,4.58,9.87
1000,225,775.25,636.9,92.55,26.43,10.03,4.55,10.01
1000,226,774.25,635.76,92.49,26.45,10.07,4.56,10.07
1000,227,773.25,634.48,92.49,26.59,10.12,4.54,10.1
1000,228,772.25,633.18,92.52,26.7,10.26,4.54,10.22
1000,229,771.27,631.93,92.56,26.75,10.35,4.55,10.28
1000,230,770.29,630.69,92.69,26.74,10.33,4.61,10.36
1000,231,769.3,629.5,92.64,26.8,10.42,4.64,10.45
1000,232,768.3,628.2,92.79,26.86,10.39,4.66,10.52
1000,233,767.3,626.98,92.71,26.94,10.5,4.71,10.57
1000,234,766.3,625.73,92.7,27.05,10.54,4.74,10.61
1000,235,765.31,624.56,92.69,27.01,10.6,4.79,10.63
1000,236,764.31,623.3,92.78,27.03,10.62,4.85,10.7
1000,237,763.31,622.12,92.76,27.03,10.67,4.93,10.74
1000,238,762.31,620.88,92.68,27.2,10.73,4.96,10.79
1000,239,761.31,619.6,92.81,27.17,10.82,4.96,10.85
1000,240,760.31,618.34,92.83,27.24,10.87,5.0,10.91
1000,241,759.31,617.0,93.06,27.14,10.97,5.0,10.95
1000,242,758.31,615.81,92.98,27.25,11.01,5.05,10.98
1000,243,757.31,614.66,92.91,27.31,11.0,5.11,11.02
1000,244,756.31,613.4,93.05,27.23,11.09,5.14,11.06
1000,245,755.32,612.1,93.12,27.33,11.17,5.14,11.08
1000,246,754.32,610.89,93.13,27.41,11.2,5.12,11.17
1000,247,753.34,609.71,93.14,27.44,11.23,5.16,11.25
1000,248,752.34,608.41,93.26,27.54,11.19,5.15,11.28
1000,249,751.35,607.22,93.26,27.59,11.24,5.18,11.34
1000,250,750.35,605.94,93.31,27.68,11.27,5.21,11.36
1000,251,749.35,604.81,93.24,27.73,11.28,5.26,11.51
1000,252,748.35,603.73,93.05,27.76,11.4,5.28,11.53
1000,253,747.35,602.54,93.06,27.72,11.44,5.35,11.58
1000,254,746.35,601.3,93.13,27.79,11.5,5.3,11.69
1000,255,745.35,600.04,93.2,27.86,11.48,5.33,11.73
1000,256,744.37,598.81,93.28,27.9,11.52,5.32,11.73
1000,257,743.38,597.65,93.21,28.0,11.52,5.4,11.77
1000,258,742.4,596.42,93.26,28.02,11.63,5.41,11.87
1000,259,741.4,595.22,93.27,28.09,11.66,5.41,11.9
1000,260,740.4,594.12,93.13,28.17,11.66,5.49,12.0
1000,261,739.4,592.83,93.11,28.34,11.72,5.51,12.03
1000,262,738.4,591.71,93.02,28.43,11.75,5.51,12.16
1000,263,737.4,590.56,92.96,28.51,11.77,5.54,12.27
1000,264,736.4,589.43,92.89,28.54,11.8,5.62,12.36
1000,265,735.4,588.32,92.77,28.62,11.84,5.61,12.47
1000,266,734.4,587.17,92.74,28.67,11.84,5.67,12.57
1000,267,733.4,585.97,92.75,28.72,11.85,5.73,12.66
1000,268,732.4,584.86,92.66,28.76,11.87,5.76,12.73
1000,269,731.4,583.77,92.46,28.89,11.89,5.83,12.76
1000,270,730.41,582.6,92.55,28.85,11.91,5.85,12.82
1000,271,729.43,581.33,92.64,28.93,11.95,5.86,12.86
1000,272,728.43,580.25,92.56,29.04,11.89,5.9,13.12
1000,273,727.43,579.09,92.53,29.13,11.87,5.9,13.17
1000,274,726.43,577.99,92.44,29.2,11.87,5.92,13.25
1000,275,725.43,576.82,92.36,29.23,11.97,5.99,13.32
1000,276,724.43,575.63,92.39,29.22,11.97,6.05,13.37
1000,277,723.43,574.46,92.37,29.3,11.96,6.07,13.47
1000,278,722.45,573.42,92.28,29.28,12.04,6.12,13.6
1000,279,721.45,572.28,92.26,29.31,12.06,6.1,13.67
1000,280,720.45,571.15,92.28,29.3,12.02,6.14,13.74
1000,281,719.45,570.0,92.19,29.39,12.07,6.17,13.75
1000,282,718.45,568.96,92.02,29.39,12.16,6.21,13.83
1000,283,717.45,567.72,92.09,29.41,12.22,6.17,13.85
1000,284,716.45,566.61,92.09,29.32,12.3,6.22,13.95
1000,285,715.45,565.5,92.01,29.41,12.26,6.28,14.07
1000,286,714.46,564.42,91.96,29.38,12.29,6.3,14.12
1000,287,713.46,563.29,92.01,29.28,12.34,6.35,14.18
1000,288,712.46,562.16,91.97,29.36,12.35,6.37,14.37
1000,289,711.46,561.09,91.86,29.39,12.41,6.36,14.5
1000,290,710.46,560.13,91.68,29.38,12.45,6.38,14.66
1000,291,709.48,559.05,91.58,29.46,12.42,6.47,14.71
1000,292,708.48,557.92,91.54,29.5,12.43,6.46,14.79
1000,293,707.48,556.69,91.75,29.39,12.39,6.51,14.85
1000,294,706.5,555.57,91.74,29.37,12.45,6.54,14.88
1000,295,705.5,554.46,91.58,29.43,12.59,6.54,14.93
1000,296,704.53,553.42,91.43,29.6,12.59,6.51,14.95
1000,297,703.55,552.31,91.53,29.49,12.67,6.47,15.07
1000,298,702.57,551.26,91.46,29.53,12.63,6.47,15.17
1000,299,701.59,550.11,91.41,29.59,12.73,6.47,15.31
1000,300,700.59,549.08,91.34,29.52,12.74,6.54,15.33
1000,301,699.59,547.92,91.34,29.5,12.81,6.61,15.43
1000,302,698.59,546.86,91.2,29.49,12.87,6.72,15.62
1000,303,697.59,545.61,91.27,29.52,12.98,6.67,15.7
1000,304,696.59,544.49,91.24,29.56,12.99,6.7,15.85
1000,305,695.6,543.33,91.23,29.61,12.97,6.78,15.89
1000,306,694.6,542.22,91.16,29.6,13.03,6.84,15.95
1000,307,693.61,541.24,90.93,29.66,13.08,6.87,16.04
1000,308,692.61,540.13,90.92,29.64,13.05,6.95,16.05
1000,309,691.63,539.08,90.84,29.63,13.06,7.0,16.27
1000,310,690.63,537.93,90.85,29.63,13.01,7.12,16.42
1000,311,689.63,536.79,90.82,29.72,13.01,7.14,16.7
1000,312,688.63,535.76,90.74,29.65,13.1,7.15,16.87
1000,313,687.64,534.65,90.76,29.72,13.05,7.16,16.99
1000,314,686.64,533.61,90.72,29.68,13.07,7.11,17.07
1000,315,685.64,532.48,90.68,29.68,13.16,7.09,17.17
1000,316,684.64,531.4,90.62,29.7,13.21,7.1,17.18
1000,317,683.64,530.46,90.47,29.67,13.17,7.13,17.4
1000,318,682.65,529.44,90.29,29.77,13.21,7.15,17.54
1000,319,681.65,528.26,90.3,29.84,13.21,7.17,17.63
1000,320,680.65,527.22,90.21,29.86,13.2,7.2,17.73
1000,321,679.65,526.17,90.18,29.86,13.15,7.25,18.01
1000,322,678.65,525.0,90.19,29.93,13.15,7.23,18.13
1000,323,677.65,523.88,90.17,29.94,13.17,7.21,18.21
1000,324,676.65,522.9,90.05,29.94,13.22,7.19,18.37
1000,325,675.67,521.79,89.96,30.01,13.25,7.2,18.25
1000,326,674.67,520.86,89.72,30.01,13.23,7.3,18.36
1000,327,673.67,519.66,89.83,30.01,13.27,7.27,18.38
1000,328,672.67,518.55,89.85,29.91,13.35,7.3,18.45
1000,329,671.67,517.69,89.67,29.82,13.42,7.3,18.73
1000,330,670.69,516.65,89.58,29.89,13.37,7.39,18.89
1000,331,669.69,515.75,89.45,29.73,13.4,7.4,18.97
1000,332,668.69,514.75,89.23,29.84,13.32,7.45,19.02
1000,333,667.69,513.7,89.09,29.83,13.42,7.46,19.19
1000,334,666.69,512.7,88.92,29.93,13.4,7.5,19.34
1000,335,665.69,511.61,88.95,29.91,13.44,7.49,19.46
1000,336,664.7,510.57,88.93,29.88,13.38,7.5,19.55
1000,337,663.7,509.54,88.87,29.85,13.42,7.5,19.61
1000,338,662.7,508.64,88.61,29.9,13.37,7.58,19.77
1000,339,661.72,507.64,88.58,29.94,13.31,7.57,20.07
1000,340,660.73,506.68,88.44,29.9,13.36,7.6,20.16
1000,341,659.74,505.63,88.43,29.82,13.39,7.61,20.36
1000,342,658.74,504.54,88.44,29.85,13.35,7.67,20.5
1000,343,657.74,503.38,88.47,29.83,13.4,7.67,20.58
1000,344,656.74,502.42,88.28,29.88,13.36,7.64,20.65
1000,345,655.74,501.46,88.2,29.87,13.32,7.62,20.93
1000,346,654.74,500.47,88.06,29.97,13.27,7.63,21.1
1000,347,653.74,499.46,88.0,29.96,13.25,7.69,21.22
1000,348,652.74,498.46,87.77,30.11,13.27,7.7,21.33
1000,349,651.74,497.47,87.59,30.11,13.33,7.73,21.47
1000,350,650.77,496.58,87.43,30.12,13.39,7.69,21.68
1000,351,649.78,495.45,87.4,30.19,13.4,7.71,21.83
1000,352,648.78,494.47,87.29,30.18,13.4,7.72,21.93
1000,353,647.78,493.48,87.24,30.09,13.44,7.69,22.03
1000,354,646.79,492.46,87.14,30.15,13.4,7.77,22.21
1000,355,645.8,491.43,87.13,30.04,13.46,7.82,22.25
1000,356,644.84,490.44,87.07,30.03,13.44,7.86,22.28
1000,357,643.84,489.48,86.97,29.84,13.56,7.87,22.41
1000,358,642.84,488.43,86.91,29.82,13.6,7.9,22.65
1000,359,641.86,487.46,86.87,29.76,13.6,7.95,22.9
1000,360,640.88,486.36,86.97,29.75,13.62,7.86,23.09
1000,361,639.88,485.37,86.76,29.83,13.6,7.9,23.16
1000,362,638.9,484.42,86.64,29.75,13.64,7.94,23.39
1000,363,637.9,483.48,86.51,29.81,13.61,7.95,23.67
1000,364,636.9,482.54,86.41,29.76,13.57,7.95,23.82
1000,365,635.91,481.77,86.06,29.8,13.54,8.0,24.04
1000,366,634.91,480.72,85.95,29.9,13.49,7.96,24.08
1000,367,633.91,479.57,86.05,29.84,13.51,7.93,24.31
1000,368,632.91,478.67,85.77,29.91,13.55,7.93,24.47
1000,369,631.91,477.75,85.67,29.88,13.54,7.94,24.66
1000,370,630.91,476.82,85.61,29.85,13.53,7.91,24.75
1000,371,629.91,475.73,85.67,29.82,13.54,7.88,24.82
1000,372,628.94,474.8,85.47,29.78,13.58,7.92,24.83
1000,373,627.94,473.85,85.37,29.72,13.59,7.91,25.1
1000,374,626.96,472.83,85.3,29.65,13.67,7.95,25.3
1000,375,625.96,471.82,85.3,29.63,13.61,8.02,25.45
1000,376,624.96,470.9,85.15,29.65,13.54,8.04,25.69
1000,377,623.96,469.87,85.11,29.59,13.55,8.05,25.92
1000,378,622.96,469.01,84.85,29.54,13.61,8.11,26.12
1000,379,621.98,468.01,84.8,29.5,13.67,8.07,26.29
1000,380,620.98,467.07,84.66,29.59,13.65,8.0,26.62
1000,381,619.98,466.02,84.65,29.59,13.64,8.01,26.75
1000,382,618.98,465.13,84.54,29.5,13.63,7.97,26.96
1000,383,617.98,464.19,84.41,29.53,13.59,8.05,27.22
1000,384,617.0,463.26,84.27,29.54,13.59,8.1,27.72
1000,385,616.03,462.44,84.12,29.52,13.51,8.07,27.93
1000,386,615.03,461.47,83.98,29.52,13.59,8.03,27.96
1000,387,614.03,460.46,83.92,29.55,13.6,8.04,28.27
1000,388,613.03,459.7,83.6,29.45,13.61,8.05,28.35
1000,389,612.03,458.76,83.52,29.42,13.56,8.09,28.65
1000,390,611.03,457.81,83.36,29.51,13.56,8.05,28.73
1000,391,610.05,456.94,83.13,29.52,13.58,8.1,28.87
1000,392,609.05,456.07,83.05,29.44,13.55,8.08,29.25
1000,393,608.07,455.14,82.99,29.36,13.55,8.11,29.49
1000,394,607.11,454.23,82.86,29.35,13.61,8.05,29.62
1000,395,606.11,453.23,82.85,29.26,13.64,8.01,29.8
1000,396,605.12,452.35,82.64,29.27,13.65,8.07,30.07
1000,397,604.13,451.39,82.5,29.39,13.61,8.06,30.21
1000,398,603.13,450.52,82.34,29.37,13.67,8.04,30.99
1000,399,602.15,449.68,82.22,29.33,13.68,7.96,31.27
1000,400,601.15,448.68,82.12,29.38,13.65,7.92,31.41
1000,401,600.15,447.75,81.95,29.32,13.72,7.91,31.51
1000,402,599.15,446.89,81.72,29.29,13.75,7.92,31.69
1000,403,598.16,446.07,81.53,29.21,13.76,7.91,31.86
1000,404,597.19,445.22,81.45,29.2,13.7,7.87,32.18
1000,405,596.22,444.43,81.26,29.17,13.66,7.88,32.49
1000,406,595.22,443.6,81.16,29.11,13.61,7.89,32.94
1000,407,594.23,442.55,81.15,29.07,13.6,7.99,33.08
1000,408,593.25,441.73,81.0,29.09,13.51,8.03,33.28
1000,409,592.26,440.84,80.9,29.03,13.55,8.05,33.71
1000,410,591.26,439.98,80.78,28.97,13.49,8.08,34.1
1000,411,590.26,439.22,80.52,28.97,13.47,8.01,34.33
1000,412,589.29,438.42,80.3,29.04,13.41,7.97,34.62
1000,413,588.31,437.65,80.08,28.96,13.47,7.98,35.19
1000,414,587.31,436.77,80.01,28.9,13.4,7.97,35.45
1000,415,586.31,435.98,79.79,28.84,13.38,8.03,35.9
1000,416,585.33,435.05,79.66,28.84,13.4,8.05,36.01
1000,417,584.34,434.23,79.47,28.79,13.39,8.08,36.33
1000,418,583.35,433.41,79.27,28.8,13.36,8.12,36.87
