n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,360,640.66,488.3,85.44,28.54,13.38,7.94,22.5
1000,361,639.66,487.42,85.22,28.5,13.42,8.0,22.72
1000,362,638.66,486.46,84.94,28.7,13.38,8.04,22.82
1000,363,637.66,485.3,85.0,28.78,13.28,8.08,22.9
1000,364,636.66,484.38,84.94,28.7,13.36,8.04,23.2
1000,365,635.66,483.54,84.76,28.6,13.36,8.1,23.44
1000,366,634.66,482.5,84.86,28.58,13.34,8.04,23.84
1000,367,633.66,481.52,84.7,28.64,13.34,8.08,24.0
1000,368,632.66,480.62,84.64,28.68,13.18,8.04,24.44
1000,369,631.7,479.56,84.66,28.5,13.32,7.98,24.46
1000,370,630.7,478.62,84.52,28.48,13.36,8.06,24.8
1000,371,629.7,477.6,84.58,28.4,13.3,8.02,24.82
1000,372,628.72,476.6,84.44,28.42,13.38,7.96,24.84
1000,373,627.72,475.5,84.4,28.34,13.5,8.0,24.86
1000,374,626.72,474.66,84.32,28.22,13.46,7.92,25.22
1000,375,625.74,473.74,84.14,28.2,13.66,7.84,25.82
1000,376,624.74,472.8,83.94,28.26,13.64,7.9,25.96
1000,377,623.74,472.02,83.58,28.24,13.62,8.0,26.44
1000,378,622.74,471.18,83.36,28.2,13.68,8.06,26.96
1000,379,621.74,470.16,83.38,28.2,13.64,8.04,27.32
1000,380,620.74,469.3,83.06,28.3,13.74,7.9,27.32
1000,381,619.74,468.36,82.98,28.24,13.72,7.94,27.44
1000,382,618.74,467.3,83.12,28.1,13.78,7.84,27.46
1000,383,617.76,466.34,83.1,28.2,13.74,7.66,27.78
1000,384,616.76,465.44,82.84,28.28,13.72,7.74,27.82
1000,385,615.76,464.72,82.52,28.22,13.7,7.78,27.98
1000,386,614.76,464.0,82.24,28.24,13.72,7.7,28.22
1000,387,613.76,463.32,81.88,28.08,13.84,7.7,28.3
1000,388,612.76,462.22,81.92,28.12,13.9,7.68,28.52
1000,389,611.76,461.2,81.82,28.2,13.92,7.7,28.86
1000,390,610.76,460.48,81.48,28.22,13.84,7.64,28.88
1000,391,609.78,459.72,81.22,28.06,13.94,7.68,29.24
1000,392,608.78,458.9,81.04,28.04,13.88,7.72,29.48
1000,393,607.78,458.02,80.84,28.04,13.9,7.76,29.7
1000,394,606.78,457.2,80.62,28.0,13.9,7.8,30.0
1000,395,605.78,456.2,80.52,28.0,13.94,7.74,30.14
1000,396,604.78,455.24,80.48,28.02,13.88,7.76,30.88
1000,397,603.78,454.34,80.38,27.98,13.9,7.7,31.26
1000,398,602.78,453.26,80.42,27.9,13.94,7.7,31.36
1000,399,601.8,452.4,80.26,27.86,13.9,7.7,31.46
1000,400,600.8,451.48,80.16,27.7,13.92,7.74,31.46
1000,401,599.82,450.62,80.0,27.74,13.88,7.72,31.7
1000,402,598.84,449.86,79.8,27.72,13.8,7.8,31.92
1000,403,597.88,449.0,79.66,27.82,13.76,7.68,32.4
1000,404,596.88,448.02,79.64,27.78,13.76,7.6,32.44
1000,405,595.88,447.16,79.5,27.72,13.76,7.6,32.64
1000,406,594.88,446.34,79.38,27.64,13.82,7.52,33.1
