x,interval_begins,interval_ends,mean,analytical
0.055,0.0,0.0,0.0,0.00014621821123071842
0.056,0.0,0.0,0.0,0.0001554061779744669
0.057,0.0,0.0,0.0,0.00016496090699905843
0.058,0.0,0.0,0.0,0.00017488759579693266
0.059,0.0,0.0,0.0,0.00018519125659346208
0.06,0.0,0.0,0.00017699115044247788,0.0001958767145322568
0.061,0.0,0.0,0.00017391304347826088,0.00020694860608825596
0.062,0.0,0.0,0.00017094017094017097,0.00021841137770028718
0.063,0.0,0.0,0.0001680672268907563,0.00023026928461499744
0.064,0.0,0.0,0.00016666666666666666,0.00024252638993426791
0.065,0.0,0.0,0.0001639344262295082,0.0002551865638584389
0.066,0.0,0.0,0.00016129032258064516,0.0002682534831178765
0.067,0.0,0.0,0.00016,0.00028173063058560625
0.068,0.0,0.0,0.00015748031496062991,0.00029562129506393946
0.069,0.0,0.0,0.0001550387596899225,0.000309928571238211
0.07,0.0,0.0,0.00015267175572519084,0.0003246553597909278
0.071,0.0,0.0,0.0003042220936957779,0.0003398043676698148
0.072,0.0,0.0,0.0002996632996632997,0.0003553781085034228
0.073,0.0,0.0,0.00029631255487269534,0.000371378903158138
0.074,0.0,0.0,0.00029198635976129583,0.00038780888043059644
0.075,0.0,0.0,0.0002877846790890269,0.00040466997786968575
0.076,0.0,0.0,0.0002837022132796781,0.0004219639427224717
0.077,0.0,0.0,0.00028073286052009453,0.00043969233299854133
0.078,0.0,0.00684931506849315,0.0004167065810901427,0.0004578565186474245
0.079,0.0,0.006756756756756757,0.00041099720410065236,0.00047645768284388984
0.08,0.0,0.006666666666666667,0.00040637405647190385,0.000495496823376079
0.081,0.0,0.0,0.0002667140825035562,0.0005149747541315666
0.082,0.0,0.0,0.0002632034632034632,0.0005348921066765972
0.083,0.0,0.0,0.0001282051282051282,0.0005552493319238649
0.084,0.0,0.0,0.00012658227848101267,0.0005760467018843643
0.085,0.0,0.0,0.000125,0.0005972843114989448
0.086,0.0,0.0,0.00025768497804291987,0.0006189620805453501
0.087,0.0,0.0,0.0002551497176288953,0.0006410797556166441
0.088,0.0,0.0,0.00025279106858054227,0.0006636369121670371
0.089,0.0,0.005988023952095809,0.00037158182842424116,0.0006866329566212704
0.09,0.0,0.005917159763313609,0.00036703025118224375,0.0007100671285438033
0.091,0.0,0.005847953216374269,0.00036339521840695157,0.0007339385028641906
0.092,0.0,0.005813953488372093,0.00036040842855572665,0.000758245992155129
0.093,0.0,0.005747126436781609,0.00035681319004363365,0.0007829883489597661
0.094,0.0,0.005681818181818182,0.000352614819906873,0.0008081641681649824
0.095,0.0,0.0056179775280898875,0.00034925329880962505,0.0008337718894174422
0.096,0.0,0.005714285714285714,0.0004622905736446527,0.000859809799579322
0.097,0.0,0.005649717514124294,0.0005706996232618292,0.0008862760352207252
0.098,0.0,0.00558659217877095,0.0005649740504455101,0.0009131685851458808
0.099,0.0,0.005555555555555556,0.0005592680592680592,0.0009404852929503236
0.1,0.0,0.005494505494505495,0.000553668767747842,0.0009682238596063367
0.101,0.0,0.00546448087431694,0.0006605119409971316,0.0009963818460740478
0.102,0.0,0.005434782608695652,0.0006551795050268861,0.0010249566759356248
0.103,0.0,0.005376344086021506,0.0006492333922169436,0.0010539456380501333
0.104,0.0,0.0053475935828877,0.0007503549128484682,0.0010833458892266796
0.105,0.0,0.005291005291005291,0.0007435050432904973,0.001113154456913556
0.106,0.0,0.005263157894736842,0.0009446441204002144,0.001143368241901183
0.107,0.0,0.005208333333333333,0.0008316628962441152,0.0011739840210367042
0.108,0.0,0.005154639175257732,0.0008246455117063017,0.0012049984499481975
0.109,0.0,0.005128205128205128,0.0010244167936842338,0.0012364080657764924
0.11,0.0,0.00510204081632653,0.0011170915799236286,0.0012682092899127127
0.111,0.0,0.00510204081632653,0.0011099014141782797,0.0013003984307396713
0.112,0.0,0.005050505050505051,0.0011003685441575441,0.00133297168637536
0.113,0.0,0.005025125628140704,0.0010919350505790289,0.0013659251474168205
0.114,0.0,0.004975124378109453,0.0010821550218231672,0.0013992547996827488
0.115,0.0,0.0049504950495049506,0.0011725100315719418,0.0014329565269532451
0.116,0.0,0.004901960784313725,0.0012600978668370314,0.0014670261137052036
0.117,0.0,0.004878048780487805,0.0012520467321774588,0.001501459247841861
0.118,0.0,0.004830917874396135,0.001342971137504795,0.001536251523415101
0.119,0.0,0.004807692307692308,0.0013329578671480687,0.001571398443339182
0.12,0.0,0.004761904761904762,0.0014248133645844755,0.0016068954220945632
