k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
421,0.0856881749411561,0.07934358872337507,0.08167820513867045,99.53262576580296,99.94517207061637,0.7149307641321857,0.6319927542065936,0.0030685257462513757,0.31488883850837895,1.4821300427579789,0.6881067203420607,0.7926054141560561,0.5798521853379841,0.9099793231891288,1.8671755510937282,2.2267195993352926,0.8233488992886455,0.21432114977498776,1.2365893867947884,1.41396833053421,1.605694497953184,1.7624237317338536,2.049584818907826,2.3730773848990983,1.7586476387408978,0.12224011879938511,1.1092810954367853,3.641701309345409,2.285250845570619,3.397633020814837,4.865563013307413,6.210598485701726
422,0.08033396009479747,0.08230418667570884,0.0815795348757246,99.53430955419418,99.94538869022894,0.692990861860376,0.5879992060213971,0.003556430459587354,0.3028343187129014,1.448639393218715,0.8022865092522941,0.7314399225179125,0.6390467021690964,0.9320637210343244,1.8231722986629777,2.001317114153526,1.0619677419085207,0.12556408500338487,1.1314320826430309,1.3419907648179106,2.2572948251976883,2.0315089633588435,1.918158491525845,1.81403173535381,2.0033554882465197,0.019201913730432778,1.3555423398264879,3.4497017911773358,2.4821698739321936,3.327978006074322,5.062671075702471,6.168642149929581
423,0.08431684371655378,0.08736267986838336,0.08624298215898973,99.5360323025634,99.94560803973724,0.6991354308771783,0.6665715636614348,0.0037391692445493,0.3126177146628643,1.4117721474795062,0.89241284678085,0.7764340693807307,0.6942653990835927,0.9586631171937179,1.7637038214377432,2.040363125549398,0.964291351240656,0.01011124464950706,1.2345556113614031,1.352191420569633,2.190118263969292,2.2620278782125722,2.330108897125257,2.5003996361524323,2.0541491671298027,0.2911541547650686,1.3349654091475405,3.492699126435807,2.5183119052898935,3.154067478673949,4.897902227082799,6.36678831191627
424,0.07364989357540885,0.08663118334828152,0.08186119404479943,99.53773234140245,99.94582580052163,0.66332362556813,0.7149541901534762,0.017646090706305174,0.29282301748101525,1.4078398680429485,1.1332660544523423,0.9276051166215675,0.5892368742178351,0.9438874858413999,1.6966771493683417,2.0808232745144397,0.49303741510597926,0.2738071558266567,1.2056483089058152,1.2624166986865084,2.4919329734441655,2.414375862886606,2.323658744680819,2.9872234176364962,2.252826706850183,0.09345759657922861,1.5616314690367346,3.643725594453467,2.361236001992143,2.9827074700427123,4.9801976363622265,6.4895042219812495
425,0.06772454170462874,0.08628743770964888,0.07946972657158943,99.53945900278318,99.94604531330938,0.664320955978667,0.684889368447943,0.011014640630393235,0.29360272620960315,1.422527707236159,1.1254749998543523,0.8301180643993327,0.5987874260167521,0.9432178143512208,1.7764445867544911,1.9780055280202382,0.9083547355861988,0.047092392301280504,1.135876975592725,1.2981681734995827,2.3053488500791417,2.6483363898252237,2.379234811500134,2.9592578885332177,2.59739942816333,0.06255844915106679,1.5767248364399093,3.4017847219792814,2.239165677397299,2.906554568749097,5.308120435979403,6.641623480617801
426,0.06699289051642088,0.08950244047991801,0.08123923729453976,99.54121284434513,99.94626822248027,0.6565580672109101,0.7208056573576445,0.023624553686156895,0.2872537753418774,1.4048268938820816,1.2808109831040384,0.5877851529998476,0.6018622163073782,0.9312628838062854,1.8655478731335602,1.851599799511873,0.5413729536819216,0.039628661242375164,1.2981662469904507,1.3606877451276846,2.6725265984783757,2.6849435165566815,1.8942158520494246,3.382476591970161,2.412588763663618,0.1070859207126617,1.648082814771508,3.423377016593431,2.599650811671963,3.0030904164339653,5.235394333151271,6.484853304512425
427,0.07275549598408812,0.08933327322286273,0.0832509502943834,99.54299648920593,99.94649078479391,0.6213081934060046,0.8009649136354579,0.015260030553518633,0.2872247834626085,1.5045618927466358,1.1872665983007773,0.4113240139753923,0.6262276073301247,0.9504211649829933,1.9233282098694673,1.823014746748608,0.5850167633605176,0.09973700654749551,1.2317692181414166,1.356080734410372,2.7347498834275417,2.563491194748615,2.0145563144995284,2.9740838158450726,2.4712533852677385,0.2398966207021364,1.5897831399822673,3.355095853295928,3.0465237143247212,2.5305572001258243,5.648311626077489,6.540317057959497
428,0.07428883629680867,0.08625207914436607,0.08186518459763534,99.54478287812388,99.9467132506508,0.6219223706706365,0.7144886342284708,0.0222263741058346,0.27480181203490095,1.48047150676468,1.419546302891979,0.34165953672466404,0.573384089169396,0.9327992392859259,1.957775666265232,1.6734953690936087,1.4792532963447156,0.13329668733697514,1.112369933002455,1.37058911750693,2.5831707936060186,2.7237701472455993,2.1368961483942948,3.016887094568401,2.4837218095164935,0.06756045102970828,1.6830185206550696,3.338613773772507,2.772155975046004,2.8508317195469024,5.562859946082833,6.286172480176344
429,0.07198329626753637,0.0814695308531896,0.07799278423728076,99.54657290356809,99.94693624672733,0.6149342877998635,0.7689842092316015,0.0841720830858861,0.24336010609638317,1.4161325408246155,1.2022247672889184,0.3929027801673453,0.6075138215657485,0.9110683821075918,1.993245982175062,1.5978044050782665,1.5935150047869757,0.08547237433727226,0.988314126409908,1.31010986214487,2.648284589014454,2.363770764588437,2.079659374893743,3.510279655118308,2.6426695399834945,0.08058005316591052,1.7100299762145321,3.4591450414107547,3.0618322693208198,3.0953262667465653,5.299723154874419,6.765934396605064
430,0.059656534680861,0.08135679624193844,0.07340701121671346,99.5483514980148,99.94716304519139,0.5664157290159658,0.7444276568904695,0.07207360338724708,0.23042062970850344,1.2999495899082743,1.1226986236304224,0.47183828773981096,0.6199777961569215,0.8778854540128533,2.037914511050341,1.6949110503962077,1.4397721153374043,0.16182223513544952,0.926545078045862,1.2890198954474021,2.69951780341829,2.042031679268215,1.7804595601797326,3.937995020179487,2.27353959645345,0.019698865990313084,1.6253229298517713,3.4684254468200684,3.202491745826123,3.2498177026999726,5.341312044849956,6.49441514699035
431,0.05254982099703203,0.08163500890987259,0.07098474925102673,99.55015556541191,99.94739136333789,0.5351071851104018,0.7111520347101014,0.06823066699118316,0.21810812749794295,1.2872619195019979,1.1066684667922568,0.6316472096254713,0.6335134242553303,0.8929972049364782,1.97688105925197,1.5721761063543627,1.557281592272926,0.10286127427446513,0.9089545381366364,1.2819514309939681,2.845201102324277,1.6773820912528266,1.9094877534118235,3.9233837900736726,2.244058243217879,0.233583123369667,1.5557941339738552,3.30943536812944,3.141518276508307,3.4527094463668937,5.245263417198944,6.6166633047795615
432,0.05005849262667878,0.082182563486504,0.0704253395712278,99.5519830760465,99.94762109877058,0.524956084141013,0.7577691010064934,0.05837365283428471,0.22442782281448137,1.1891547186616873,1.0532944083620273,0.4593272752669525,0.6632711720925896,0.8539386581555096,2.2042320006297573,1.6474302611221017,1.743583933730058,0.03001943699353175,0.8198901305178161,1.3298102651933617,2.977081715698858,2.215150976421896,1.6121505268120209,3.783947326126787,1.7788378075359366,0.03452046194897308,1.6473957221463458,3.0947479641591227,3.1261015920913913,3.596964180147579,5.474540870701231,6.403949084651272
433,0.053496596195661134,0.08090433765106164,0.07087870133093477,99.55383658560095,99.9478511554434,0.5399294005107214,0.7736839304449347,0.05043905365508406,0.23538905533351762,1.0831630134910377,1.0130718695726206,0.23326738205828956,0.7268950683429526,0.8253277389530391,2.120409942799048,2.0681041927048978,1.628070553626777,0.3814340294899874,0.860286834244225,1.3866644722738455,3.0796435560261815,2.059252094027802,1.1901634036177742,3.6459958958308945,1.3608349396286508,0.06334267685563678,1.6132508398626095,3.110469424259305,3.0809306865212527,3.500293569503521,5.686063860587997,6.272558828850766
434,0.042128116256388744,0.08087831579322076,0.06670990071309801,99.55566675116287,99.94808306006523,0.5396277149984223,0.7142813526634411,0.061140950303406084,0.2232620537689764,0.9879882401353731,0.9988306993274618,0.07414462876518219,0.7461334603175847,0.7875780632413039,2.020176994415881,2.293021297154562,1.1392135939700385,0.3684249067948394,0.8596218585605645,1.3400747598684282,3.1372750945181727,2.191358111557068,1.450118483523765,4.3965028610070105,1.2881159466964232,0.15009698567820365,1.7402967578574644,2.9850460630536926,3.1245169010715808,4.029330023398175,5.640618842463728,6.144426789242539
435,0.050842916398518054,0.07419408207428209,0.06566129672991425,99.55755542490787,99.94831283185286,0.5760480798126163,0.717252116733329,0.10250411737942307,0.21307543063906006,1.0774127882943116,1.0362318876004455,0.1120115468496554,0.7941615021238757,0.8266709341446502,1.9115967308854689,2.396995110926099,1.4676280640720842,0.24441026617649866,0.9637990955295913,1.3740015555172689,3.5526064805656357,2.2433498407821353,1.0291926185365046,4.3903053901465405,1.4637570920165073,0.35262989897387415,1.92342952915392,2.868482424800534,3.138339754557164,4.120678826911588,5.074813158701694,5.755480650946894
436,0.03781484486838298,0.07828696278707466,0.06350396127060828,99.55940447733845,99.9485491097555,0.5615451368352052,0.7962903193589765,0.127579854786177,0.2017406224635422,1.0806464208849482,0.9722323803848101,0.10794814830756244,0.8255716831715019,0.8370925128177157,1.7694105049410334,2.6973017334839686,1.6607747182009183,0.2907757189895911,0.9722835243741804,1.3836241656203985,3.396870240748532,1.718980586205603,1.2943009471577467,4.197127135128068,1.099256193932861,0.5181176643593264,1.8493324687764638,2.796919063951507,3.36977662891091,3.9583009546979495,4.8524164198545545,6.161200962370407
437,0.0408567558025203,0.08626124847500892,0.0696846158523351,99.56130156600189,99.94878836006575,0.5468153478929163,0.7417383840099874,0.10594064115068048,0.2029766235663811,1.2392751303577403,1.0750702449665426,0.03274650100672678,0.842895362490867,0.9196321159648648,1.9456966383018055,2.535624926973814,1.9899985961955342,0.22598528153921693,0.9216502347516984,1.4175758811956098,3.412402359267656,1.8154026689938603,1.4365569896102308,4.194750639200585,1.2796933196914315,0.5590172072662521,1.904182171426381,2.7345001655072005,3.2920292970343072,4.251578359403056,4.673001764322922,6.043494418571304
438,0.03780848403271428,0.08483392958611,0.06767413743753624,99.56319507955133,99.9490240571451,0.5318521012738682,0.7229911047316475,0.11261745343045018,0.1920012791425821,1.357012098086153,1.1275924230266732,0.16075136298550383,0.8234339423148768,0.9648909553137155,1.7116596160057052,2.8388329628155153,2.2186065944432456,0.33185721139913205,0.9938759867846372,1.43486431122801,3.351009800509395,1.9136265783588151,1.269609679157328,4.509282206028708,1.3631300276413019,0.24877685310894107,1.8013844840079376,2.6957400623346492,3.4852096939501966,4.004651533268872,4.352249149791158,6.297085863862776
439,0.044016602855030125,0.08205172348056636,0.06818045447373333,99.56511971034821,99.94926014892687,0.5641857492095055,0.6729222697393381,0.1268895234020952,0.19007781065364526,1.3770309730743617,1.3854315905272379,0.3301516787408796,0.8302079421281918,1.0146553663440527,1.653934621263082,2.6794318865126554,1.9097003133071915,0.2701560230226794,1.0493407795475562,1.394348552190762,3.3530434662133697,1.8053326095012943,1.22871851285319,5.320785213315759,1.3500980718909208,0.18026949110960558,1.8186546641717716,2.608209741923936,3.444805792887146,4.168057298407574,4.1358506839399976,6.34402790905633
440,0.04781205850383758,0.07603722896103048,0.06574953768487882,99.56704853200334,99.94949571909456,0.5643275233140803,0.6318261996992898,0.1191338739488161,0.19012605021557205,1.389824034469128,1.2093896375279343,0.3113102278717487,0.8102397587566702,0.9901103768027657,1.6983925492835845,2.593709195761219,1.9730014344655395,0.40727898640341376,0.9064561051100689,1.354921813947899,3.198558108470903,1.865287476862134,1.626442986114414,5.3249695518908124,0.7945713905675179,0.5048000133177845,1.8741274005763873,2.704020093076891,3.7387566456493553,3.576065016985287,4.41753617417927,6.446693882159337
441,0.05026452863196154,0.07901521309648989,0.0685413251684006,99.56898376904256,99.94973656578699,0.550100689413989,0.5591057408230498,0.12217511928286102,0.17609927181750779,1.4143551842948243,1.494817020012896,0.23910863729770157,0.8316691447238553,1.029137019205734,1.8456454362746513,2.8283328666366296,1.9361124318182468,0.5737616280232757,0.8073249070664257,1.393895694580841,2.94824666624122,1.7173000376895997,1.9003356053449434,5.083082643150212,1.3793755851637797,0.6161367566742911,1.881087912102304,2.8163226941029165,3.714246279147342,3.639830618536126,3.8760145360231797,6.890282139425935
442,0.05027020173284884,0.07864308295781598,0.06831216284389713,99.5709227814907,99.94997674850609,0.5666937731972639,0.5224649302638853,0.1039353500554471,0.18812151529319687,1.4354400641422185,1.4995024175910088,0.04502615546924682,0.8364381265169895,1.0208082153373448,1.789958157215716,2.843292662125771,2.4411092640392744,0.8252746956198329,0.6181785272012753,1.3593567545715597,2.615759182136745,1.1027597433610699,2.298449278122966,4.338695713781325,1.764421728581081,0.8287694745953288,1.8073717594795806,2.8872060116227907,3.702810227808705,3.6911283819791443,3.708447213580011,7.204966803500449
443,0.042554725175629374,0.08843944836765448,0.07173897326594819,99.57285389924984,99.95022257791247,0.5857856677365078,0.4903871910268952,0.08686121439139399,0.20081368865420043,1.4836230078675603,1.4149536942495953,0.01469631523373131,0.9280161426184141,1.0700295696221749,1.751610010627129,2.463961416970923,2.2052757120605717,0.8542356580604944,0.5033158083689907,1.2431126186972878,2.651984668380987,1.5919348557796278,1.8957230987459182,4.537326982124098,1.7595439281185645,0.7311979564490383,1.8175579228420917,2.9673527653331018,3.757938292443781,3.638363873488241,4.085321753171877,7.367582530083571
444,0.04747278823083224,0.08661006604535021,0.07237336235535215,99.57482135411641,99.95046382186662,0.5865843861310652,0.522063462515004,0.09990199073730228,0.19670609990485588,1.5552170197375017,1.2659945663010772,0.0944418503577281,0.9499415575788527,1.0965466279124627,1.7050330445296293,2.4554950328611893,2.6112247659896304,0.7447811308167557,0.4448425131639112,1.223541137000485,2.753992327539829,1.7428150898115002,1.5528136733516966,4.359295202032842,1.8054485374239868,0.7602741977698756,1.8385443165865907,3.1144503050813244,3.612047353024007,3.725809969578281,3.7996878612335947,7.660679977232804
