x,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0.010000000000000002,0.016326563994943876,0.011152280022677012,0.0025852543177987304,99.99999999989355,99.999999999988,1.2210994702888864,1.017571515900723,0.32220147386778747,0.5119316078637919,15.580192758066943,9.552200845514713,1.284110215664528,14.424390830486278,13.0117440301099,7.672290642537273,0,10.77396156639637,44.74464311342464,169.18072660634323,64.1095726909576,0,0,0,0,0,0,0,0,0,0,0,0
0.011000000000000003,0.018291462077024985,0.014625993437121291,0.0018300254723926624,99.99999999977611,99.99999999997475,1.128739522196165,0.724675898740771,0.5502460091611537,0.3393170807885068,9.661576903452127,0.8827276721766012,0.6693142920107426,8.794686967456462,7.366667847664404,1.5499271912876131,91.12002758085976,46.26532723024975,4.439986209570126,77.71237258475335,30.01362420466637,0,0,0,0,0,0,0,0,0,0,0,0
0.012000000000000004,0.014517300511940938,0.010954292510453415,0.001779882024511587,99.99999999955837,99.99999999995042,0.9000234217599524,0.25344088723781655,0.3038024597608311,0.29691606918441027,8.176535236630363,5.706202557797724,3.213480984032223,6.062335850898164,5.370733156078947,1.7247131208838367,146.14868853942272,88.37909837200714,23.074344269711364,52.587069681325765,32.19585850667167,0,0,0,0,0,0,0,0,0,0,0,0
0.013000000000000005,0.019273909499248235,0.014528522104235702,0.0023698372543194458,99.99999999917902,99.99999999990762,1.1702360120256567,0.28121832847430817,0.31744709232128165,0.36109099824342733,8.530040299610132,5.210826373468915,10.00225087523361,5.515316957954304,5.97897497346321,15.473132182293512,210.4627422185123,137.59903741212668,55.23137110925613,44.34141522786692,43.99941661341006,58.863705070962986,0,0,0,0,0,25.396418012610912,0,0,0,0,0
0.014000000000000005,0.020472706404942472,0.01470045510990761,0.0028830328585575412,99.99999999854252,99.99999999983604,1.1795528183560084,0.14421999648813327,0.3125998783524949,0.40966067961515024,10.026813731906135,3.0954151594835526,8.125115716786782,5.519691241683465,6.63226402049976,10.05690311640227,28.22358899889947,194.39089310971815,92.33538349834923,30.067249137566314,30.84039693765245,45.22013449093508,0,0,0,0,0,66.98632985540291,0,0,0,0,0
0.015000000000000006,0.025513714572504766,0.018592789755460307,0.0034555991174987843,99.99999999751945,99.99999999972037,1.4075799768337558,0.37755568756803454,0.3353070188932867,0.45240061239496676,9.82239023011967,3.1308475115411847,9.543621038350604,5.420226908659189,6.638470191543603,16.38169970602556,56.45276503690683,79.60138843522465,56.45276503690683,34.286576583875664,33.038065507573805,28.528826921982823,0,0,0,0,0,117.86670653259316,0,0,0,0,0
0.016000000000000007,0.021334511948534456,0.01494358693933672,0.0031921723585754914,99.99999999591394,99.9999999995409,1.1807638401025984,0.2990420527401447,0.2568558061446099,0.3910533451139748,8.680249060773306,5.983638847698053,11.39753716365187,2.0103420787041886,4.602753274477789,23.634264116322054,41.27207408627752,44.15517763905867,88.36276544837003,50.12732071267677,40.63919769664256,8.398442096110418,0,0,0,0,0,179.23047676844863,0,0,0,0,0
0.017000000000000008,0.024301879349146384,0.016601846477958305,0.003845833809665221,99.99999999349146,99.99999999926823,1.337760589927,0.3734656676594263,0.26316515593670553,0.4527742093474821,11.063145928284209,6.442730788418696,7.794244961169766,2.2855747178230335,5.2320727549619575,19.091546557754477,34.48033076315983,28.648275602512555,124.13388460526642,47.113086924284936,37.224827309346736,15.578131733279337,0,0,0,0,0,252.3186457347336,0,0,0,0,0
0.01800000000000001,0.02726735072471558,0.01973125338162754,0.00376252670763869,99.99999998991582,99.99999999886509,1.2451379298060303,0.13684410881855072,0.30564152159124086,0.4148631063356782,7.731731588660171,5.8103042563790135,3.6086653179830694,3.776822205816551,4.302931707158857,13.27218479171269,31.96960532660447,0.9971469336258592,163.939210653209,40.24175259926333,30.318899269194645,43.822575000928495,0,0,0,0,0,338.41662856554944,0,0,0,0,0
0.01900000000000001,0.024964264737513973,0.01700381587124629,0.003975821308913109,99.99999998473618,99.99999999828556,1.17710467971329,0.0595463982504127,0.2734760344532237,0.41748581737071916,8.25939787534247,6.326571641875799,6.744139291815935,2.5839379605145494,4.241139829627785,18.486142075389296,31.97633383431568,17.836012352067574,84.76686736804194,18.486142075389296,24.037907739018486,76.76997425852213,0,0,0,45.41119033002945,0,169.42535323658305,0,0,0,0,0
0.02000000000000001,0.021803405476190172,0.013448330106001523,0.0041744311027190825,99.99999997740066,99.99999999746719,1.0632686867292211,0.08489480158690263,0.1331459259940429,0.41357717388896287,6.43045240605901,3.7057811564227787,6.993576492863591,2.6293648201283215,3.885263451497327,28.250389090347124,52.704166982745384,16.86543391536633,33.61614610990224,10.437835050021132,22.55551122210697,114.86769883778597,0,0,0,33.646129862945415,114.86769883778597,118.32820082079563,0,0,0,0,0
0.02100000000000001,0.024317232370048087,0.01510780796353891,0.004600826547676163,99.99999996724976,99.99999999632752,1.044470178441215,0.7127714535603301,0.2495139044529043,0.4328775887085874,6.392445749832553,3.647163462631464,8.103182456559809,2.3580626498930752,3.8625505159804514,30.450540300289596,36.3954742356329,17.432327945219633,36.3954742356329,11.360217329515516,22.805048831602193,158.57431578315155,0,0,0,73.38299076896006,158.57431578315155,57.64323474052831,0,0,0,0,0
