AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,all,x
8.619143859438385e-07,2.6617009231039943e-07,1.8560914458349815e-07,1.8560914458349815e-07,2.6617009231039943e-07,8.619143859438385e-07,2.627387245675472e-06,0.02100000000000001
1.0278618070303396e-06,3.174167603201207e-07,2.2134512877869633e-07,2.2134512877869633e-07,3.174167603201207e-07,1.0278618070303396e-06,3.133247392258313e-06,0.022000000000000013
1.2156607781893588e-06,3.7541146409160546e-07,2.617867398701695e-07,2.617867398701695e-07,3.754114640916055e-07,1.2156607781893588e-06,3.7057179643022683e-06,0.023000000000000013
1.4269313608126166e-06,4.4065449912660557e-07,3.0728285033759043e-07,3.0728285033759043e-07,4.4065449912660557e-07,1.4269313608126166e-06,4.349737420553625e-06,0.024000000000000014
1.663317688063639e-06,5.136535945952598e-07,3.5818751640166964e-07,3.581875164016697e-07,5.136535945952599e-07,1.663317688063639e-06,5.070317598121138e-06,0.025000000000000015
1.9264849398500317e-06,5.949229791691735e-07,4.1485932659888955e-07,4.1485932659888955e-07,5.949229791691735e-07,1.9264849398500317e-06,5.872534491236189e-06,0.026000000000000016
2.218116427414178e-06,6.849824807060534e-07,4.776607739620403e-07,4.776607739620403e-07,6.849824807060534e-07,2.218116427414178e-06,6.761519364164543e-06,0.027000000000000017
2.539910784765047e-06,7.843566589282356e-07,5.469576512084803e-07,5.469576512084803e-07,7.843566589282357e-07,2.539910784765047e-06,7.742450189803526e-06,0.028000000000000018
2.8935792642318845e-06,8.935739702553732e-07,6.23118468350548e-07,6.23118468350548e-07,8.935739702553732e-07,2.8935792642318845e-06,8.82054340567561e-06,0.02900000000000002
3.2808431334776144e-06,1.0131659639691613e-06,7.065138921548324e-07,7.065138921548326e-07,1.0131659639691613e-06,3.2808431334776144e-06,1.0001045979203216e-05,0.03000000000000002
3.7034311713657493e-06,1.1436665089052845e-06,7.975162068890781e-07,7.975162068890783e-07,1.1436665089052847e-06,3.7034311713657493e-06,1.1289227774320226e-05,0.03100000000000002
4.16307726012951e-06,1.2856110498847136e-06,8.964987958073138e-07,8.964987958073138e-07,1.2856110498847136e-06,4.16307726012951e-06,1.2690374211643073e-05,0.03200000000000002
4.661518071345842e-06,1.439535893113129e-06,1.0038356428354086e-06,1.0038356428354088e-06,1.439535893113129e-06,4.661518071345842e-06,1.4209779214588762e-05,0.03300000000000002
5.200490843269859e-06,1.6059775197936172e-06,1.1199008539306689e-06,1.1199008539306689e-06,1.6059775197936172e-06,5.200490843269859e-06,1.5852738433988293e-05,0.03400000000000002
5.781731247137197e-06,1.7854719272137816e-06,1.2450681976002453e-06,1.2450681976002453e-06,1.7854719272137816e-06,5.781731247137197e-06,1.762454274390245e-05,0.035000000000000024
