estimated_true_dist,empirical_min_dist,empirical_true_dist,alpha,p_aa,p_bb
42.00046480555404,41.992000000000004,42,0.5448294408473139,0.48354534879357575,0.4138429209351195
42.99722482140048,42.99099999999999,43,0.544521171373439,0.4830213682292529,0.41457309554046345
43.992085996839464,43.99033333333333,44,0.544519070555316,0.48263308611640576,0.41500826565732296
44.995272180456894,44.989999999999995,45,0.5447876238505814,0.48276687410244135,0.41498679148272255
45.98931149986964,45.99,46,0.5444641278824962,0.4818131920788284,0.4160880285064601
46.98500269633256,46.99,47,0.5445980249685013,0.4817273186649423,0.41623343810755487
47.98125529408177,47.989333333333335,48,0.5444874732688993,0.48124878936154086,0.41696493991022326
48.981283115123425,48.989333333333335,49,0.5443919725081982,0.4808854951716827,0.4172394944760075
49.98129431160046,49.98866666666666,50,0.5442334917230843,0.48049768188447717,0.4176030115131713
50.976694780301365,50.98866666666667,51,0.5439231830078173,0.48005679721469025,0.4179569047122435
52.00033408406518,51.98833333333333,52,0.5438092987135767,0.47964094094964166,0.4185598128847202
52.998093032248356,52.98766666666667,53,0.5436767963496,0.47942124188602303,0.4188602294484831
53.992040736128764,53.987,54,0.5438126610819494,0.47923109388788704,0.4192840425123739
54.98975674974088,54.986333333333334,55,0.5439695394734735,0.47914223234486253,0.4193572795992645
55.98658076840831,55.98633333333333,56,0.5439438828037189,0.4787420613894341,0.419666111927879
56.976673649787095,56.986333333333334,57,0.5437662578966926,0.4782025782688766,0.42023572744014737
57.97690176558616,57.98633333333333,58,0.5437907063174376,0.4779666683625633,0.42044669917942834
58.98064349507052,58.98533333333334,59,0.5438596491228069,0.4777872596757191,0.42074766757262616
59.98029161253164,59.985333333333344,60,0.5436623375090723,0.4771826239628465,0.4212400532381842
60.978098832460084,60.98533333333333,61,0.5434955641670685,0.47669759668836664,0.4217088196012895
61.97370740914862,61.98400000000001,62,0.5434182404962248,0.4763855405041343,0.4221244378743187
62.972535455378896,62.983666666666664,63,0.5433027812538754,0.4760786615791019,0.4222838069364715
63.9943882137809,63.983333333333334,64,0.5432698850932282,0.4758307851197829,0.42278744186360473
64.98184666068666,64.98166666666668,65,0.5433318365514145,0.4757376852142442,0.4229795872034402
65.98070958502818,65.98166666666667,66,0.5431658560022458,0.475243994241868,0.42359909666001927
66.98413159517568,66.98166666666665,67,0.5431463975472662,0.47515229868171044,0.4237200707788943
67.97876845901884,67.98166666666665,68,0.5432669464941501,0.4747740355728417,0.42397322668803017
68.97755607820402,68.98166666666667,69,0.5432816805121088,0.4747332689812122,0.4240719550472732
69.98748678426321,69.98100000000001,70,0.5431562597397289,0.4742874845105328,0.42450623372025387
70.98396123883853,70.981,71,0.5429602997312303,0.47369969515057814,0.4250364629955368
71.97766949595787,71.98099999999998,72,0.5428891433122603,0.47325215148433813,0.425497879516877
72.97007027196658,72.98033333333332,73,0.5426778170701438,0.472880741609893,0.4259833764382821
73.96833759285487,73.97899999999998,74,0.5424525096824919,0.47237822872615537,0.4265173872037482
74.9962513331403,74.97833333333335,75,0.5423515932482897,0.47192759242397747,0.4268356659169435
75.9832954741925,75.97666666666666,76,0.5422958972233735,0.47150509990553513,0.42719630750098647
76.9800037488963,76.97599999999998,77,0.5420359572855151,0.47102746139167745,0.42767235964111744
77.9826473948989,77.97599999999998,78,0.5420320479771766,0.47073779395789905,0.42805554740025253
78.98396289422338,78.97500000000001,79,0.5420218660390937,0.47055879511621684,0.42828543827182053
79.98700731851407,79.97399999999999,80,0.5419848190229701,0.4704056852463934,0.4283316316818662
80.98854814162634,80.97266666666667,81,0.5419705869876332,0.47008063132612793,0.4286498541773889
81.97587368019379,81.97266666666667,82,0.5419991433252229,0.46977702361427187,0.42895004171230433
82.97843214478642,82.97233333333334,83,0.5418990144233918,0.46960623184816624,0.42929508971790076
83.97311772689774,83.97133333333333,84,0.541660277771179,0.4689655557603481,0.42986880246644665
84.96432890655478,84.97133333333333,85,0.5415425702382223,0.4684062888061025,0.43047055171190346
85.9676096449465,85.97133333333333,86,0.5413240783405268,0.4678916742748402,0.4310919470691115
86.9646455427943,86.97133333333332,87,0.541240444644295,0.4676699198707452,0.4312897098316631
87.9620409043331,87.97066666666665,88,0.5412907458806533,0.4675105119424336,0.43152065542502926
88.96629844112746,88.97033333333333,89,0.5410642664885925,0.46702803275955707,0.43212286447158277
89.95847263019763,89.96999999999998,90,0.5410595986202953,0.46678344085102746,0.43240270004699444
90.95970032438396,90.96866666666665,91,0.5411681575101576,0.46670554554129995,0.432509808079737
91.95864700071903,91.96866666666666,92,0.5409961183225906,0.4664553396064472,0.4328711870297139
92.95616791387194,92.96866666666665,93,0.5408997512281144,0.46617190196755265,0.433091704061673
93.98981373034356,93.96733333333333,94,0.5407430077427504,0.46563671239427973,0.43349569321779263
94.94388383298835,94.96633333333331,95,0.5406592515508224,0.4654321242667108,0.4336941254234488
95.9464594648939,95.96566666666666,96,0.5406016331682316,0.46506712631649144,0.43410745340659
96.94940239908672,96.96566666666665,97,0.5405050581593603,0.4645606272238818,0.4346471865664794
97.94930145357249,97.96533333333333,98,0.5404497882819304,0.46419959473150957,0.43511144883485303
98.94802815805889,98.96466666666666,99,0.5403372190770924,0.46373265671882236,0.4355051450895105
99.94272538636476,99.96466666666666,100,0.5402732929328674,0.463341156688969,0.43590269680576893
100.94129001569183,100.96433333333333,101,0.5402134243242356,0.46284745020792295,0.4363795539107424
101.98471827327292,101.96433333333333,102,0.5401832676391934,0.4625160779657663,0.43673196794300984
102.96924667968396,102.96433333333331,103,0.540206714821144,0.46225138182730974,0.4370216514989689
103.97758585671984,103.96333333333334,104,0.5401259061291162,0.46207851425663904,0.43726883109258496
104.9753590749832,104.963,105,0.5400981217153835,0.46171251173903094,0.4375532209954698
105.98241067082805,105.96166666666666,106,0.5399927937760614,0.46129317894797955,0.43797086161930426
106.98121098570535,106.95966666666666,107,0.5400309424615908,0.4609949559123638,0.43831100073158524
107.96854970023558,107.958,108,0.5399142280611516,0.46052852168165115,0.43870556734412347
108.95987799636367,108.95800000000001,109,0.5398249718040461,0.46020904727633233,0.4390088127773356
109.95241257372935,109.95566666666667,110,0.5398126741159227,0.460017453827985,0.4392578328795971
110.93989039241188,110.95499999999998,111,0.5397478369352231,0.459511140279227,0.4397423972728861
111.94314827243278,111.95333333333333,112,0.5395340857607334,0.45894677502701176,0.440315685629727
112.94253328699136,112.95300000000002,113,0.539371054631986,0.4585150592975911,0.4407094207674796
113.93642355455577,113.95166666666668,114,0.5394213867828003,0.458260821010116,0.4409648869738397
114.93193995362557,114.95000000000002,115,0.5394172507826178,0.4579971281671222,0.4411969058316735
115.92943019747186,115.95,116,0.5392621464566141,0.45765329644997693,0.4416413093591517
