k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
318,0.0850387761353622,0.13766748544379886,0.11134621403899018,99.68309436959164,99.96480903223744,99.68309436959164,99.96480903223744,1.1809210397983503,0.01798373243420621,0.24694974186083415,0.6432055739807028,1.4465410680586077,3.4592824395976165,0.07545076906126101,1.157998084848619,1.3967277055550082,1.8369192230917522,3.277313595547427,0.5379736080397609,0.9553886406017864,1.925779010635413,0.44273970235498283,0.7641644813177662,7.167016999180185,2.812778901313906,0.3403273044887611,2.1772460634185933,2.6341865074235833,0.46867368777894264,2.28125303355755,0.012057023383324775,2.8977480170468644,0.6663581633894025,4.9684076608401515
319,0.08411835852558662,0.1474807474630586,0.11578952762283884,99.68117872895843,99.96460045891016,99.68117872895843,99.96460045891016,1.0757795443644012,0.06673214760432139,0.33272839335207416,0.628943414289163,1.4988718550069402,3.399588695905718,0.18746441383049306,1.4110028736108668,1.5244841063453343,1.3301068559149574,3.634135102536715,0.2816235305614606,0.6656899779716478,1.7864971895835184,0.5951879925960442,0.8484523331525388,7.76327711901931,3.929834493926135,0.19582846420431282,1.5241188570383244,2.8323098938064395,0.38153154610130474,1.7095370601571394,0.35520729349682906,3.4262102186689654,0.769375890748099,6.251129596593396
320,0.06612164538330043,0.15050789041758378,0.10829698456653092,99.67921590871659,99.96439074525726,99.67921590871659,99.96439074525726,0.971132166064899,0.14850984356389418,0.28797035026035217,0.5533479997964279,1.561014596132384,3.603073497529768,0.4750504114412294,1.5131783677025539,1.6376548917421132,1.5756735260048513,3.359248655995095,0.4210796767511377,1.1218600886581154,1.865511109192603,0.5448867355301441,0.5983178827967627,8.359566639969765,3.3362367222379965,0.6494945674598426,0.7325015375242092,2.6277688926896623,0.10220913658826589,1.490534307113336,0.9470210339030618,4.589563396856078,0.6078761937360204,6.294385982030263
321,0.07167147979991376,0.1474683474234811,0.10955556641905016,99.67735108352124,99.96418018818818,99.67735108352124,99.96418018818818,0.9872058360074856,0.06043066235089013,0.2514550776883967,0.5529974935869626,1.569233996337269,3.4820556030089276,0.2771605601168925,1.6647283121302952,1.67200215140844,1.400211000780329,3.368758358456845,0.8576577769586079,1.2085964737725174,1.849278245064735,0.5778361886084774,0.5206994685844829,7.658788204840369,2.9586392652675397,0.29768039757681647,0.7614285148367705,2.38593635354852,0.047686092775960275,1.8335603280948245,0.5162517609059735,4.351082601599635,0.019522869329717408,8.132266508196116
322,0.06506043057127166,0.14558202283574548,0.10530503444035734,99.67545699820299,99.96397166442475,99.67545699820299,99.96397166442475,1.001734489295831,0.03902222554227897,0.1733695440943601,0.5268030107673081,1.4438090798714152,3.3626619773852635,0.11548506097959722,1.7304022037102487,1.6212956115249622,1.4518437256479688,4.1482470038132995,0.9920156862792037,1.2976372492798423,2.127626677358049,0.7444628952746645,0.4465979348674797,6.33954503274585,2.582284667676895,0.3433855975490375,1.1486327926537176,2.228777905225808,0.0260197080187201,2.1752574611521625,0.39309211589729937,4.276724010740052,0.030468905312438444,8.576542914209126
323,0.06073494871049923,0.15174374949084524,0.10621866457124358,99.67358549169428,99.96376793966367,99.67358549169428,99.96376793966367,1.0122534684867321,0.16346734230636947,0.18830407102150415,0.5259677609196793,1.471833751640244,3.4739320792360706,0.3743166346600687,1.5356163483376857,1.5885728130401682,1.3757617920454526,4.299725463027783,1.1236266065756708,1.680709074072156,2.2519592210744146,0.8620880317544727,0.46024684627345863,6.751925781454046,2.6209416274534276,0.5985388941920763,1.5336053871093345,2.7225139634035864,0.13795635132324852,1.9922946804752595,0.12311369034488402,4.153588104172857,0.03825687028897424,8.734223444021364
324,0.0682781495943911,0.14490979000042337,0.1065793044090592,99.67177125741412,99.96356067976392,99.67177125741412,99.96356067976392,1.0334790220895156,0.2535446025242933,0.16168004353088533,0.5148412779143082,1.4618408377854655,3.911260404329409,0.3213528845190789,1.6052385954796813,1.651156985681616,1.484145229516724,4.658250061710477,1.3532462030552836,1.7733705432825109,2.2240449477419237,0.8444550543228145,0.3509843279510858,7.478140267490499,1.8332033034615038,0.36319912073074934,2.059074371650701,2.8134805966178695,0.05451808775942933,1.9733462725088888,0.31059350687729054,4.349850309857917,0.2933975227087184,7.106702426227704
325,0.06934787362006874,0.14459779950892537,0.10695869531340745,99.66994868723255,99.96335766184589,99.66994868723255,99.96335766184589,1.0703300374187865,0.3430754911681587,0.13586206848980892,0.5112630452732995,1.5493688355414525,3.733554479034233,0.23540272006132065,1.7242367416950157,1.7090796564490915,1.4026940335123188,4.471045214961904,1.479509537867957,2.0125794668174866,2.0828983730130064,0.8150672642283107,0.07666705483583237,7.8876234420456095,2.687772372010935,0.32654579937876227,1.7269095686141387,2.7073101270244333,0.13655145777387706,2.0715771397622005,0.6852390195581809,3.445694735959732,0.20333061591823418,6.070477254686517
326,0.06006042046790052,0.1554667303610719,0.10774084400076249,99.6681039029744,99.9631607778826,99.66802633094181,99.96315970293948,1.1105299512815088,0.37510536201345046,0.2009678975014301,0.5554948731235216,1.3436479708166202,3.849323287349455,0.4644441141261361,1.638572833471532,1.6241069592423765,1.3188545330870864,4.354754239273241,2.315690950431876,1.6764054265188653,1.9830634992967555,0.70156850360442,0.14301105142216067,7.657773557815189,1.6929166745342419,1.0661934677980436,1.9600083834461781,2.6045637781742736,0.03256421756764846,2.082115373053395,0.6893193991951805,2.912659376343324,0.6108009984919416,6.098122308582368
327,0.0453632216325162,0.16909873108434137,0.10719274116764892,99.66625478908992,99.96296670256469,99.66617694148094,99.9629656244528,1.0754207265554803,0.4634060621425854,0.23444892893535865,0.5458277539452572,1.4031681898826118,3.740015710096394,0.4866294814829321,1.7373677650601436,1.6793243672509663,1.2945646392377752,4.44651623339001,2.643049472677049,2.2796120660418056,1.8277337373125104,0.6993737162416596,0.46289790429412553,6.645745395153761,1.9221013785917747,1.7948274624700151,2.0476673600359416,3.1806220278501875,0.08775796176724328,1.870343731514718,0.3649099496037807,3.233340006946657,0.6920448071703795,6.511741777272234
