x,A,B,1,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0.013000000000000005,0.01285364266969142,0.028560183445479403,0.0006135365443270738,0.8111129004143237,1.0470738136172935,0.15273380614012005,0.022941366618719233,15.270632490342141,4.978297381798787,2.1911501295136326,6.071405958582838,3.163654143415589,41.55907274822766,0,158.66259098237666,14.105950529522945,0,107.66376684689601,0,0,0,0,0,0,0,0,0,0,0,0
0.014000000000000005,0.011274862064277483,0.023511696720728222,0.0010060314889199058,0.7087505324349946,0.9123748425451411,0.08382782188155342,0.09470036368077162,11.44280500784588,5.27550914414365,0.6315209943503824,9.478733653810473,0.8193016546498553,75.74621983172973,0,220.06210593436566,41.052229540394535,191.94401390584545,38.21259641511493,0,0,0,0,0,0,0,0,0,0,0,0
0.015000000000000006,0.00816313329563851,0.016027057799846502,0.0010312195193703433,0.34772600766848766,0.4157617647130054,0.22554010536641506,0.1164542422867705,11.795025053271226,2.4721962355635325,2.1388545179119247,11.430568602239141,0.89556366236453,114.86708682295033,0,30.001768013479087,46.21748860011535,41.82349147128674,4.145745238714585,0,0,0,0,0,0,0,0,0,0,0,0
0.016000000000000007,0.008779938322997118,0.016602670682498853,0.0013051972767477208,0.43975457326532696,0.9301561396804108,0.5632162764429306,0.1436464092567715,6.924186831680051,7.722563958383985,2.8598628361591,17.376350692991963,1.3114796784442462,35.19771672698904,0,56.30829085934304,40.408007969202146,41.62894958117571,1.031278745046588,0,0,0,0,0,0,0,0,0,0,0,0
0.017000000000000008,0.011969220895789268,0.026021535455235164,0.0007937536258353576,0.5709346111631498,1.1559093141933483,0.30481824514332556,0.054510513075031485,8.668318215959095,8.593233934707923,3.7227830168185547,13.456882787958188,0.5924949778493303,22.737037281537734,0,39.3081993591489,34.35331552413813,43.77752297342133,7.523214843389606,0,0,0,0,0,0,0,0,0,0,0,0
0.01800000000000001,0.017302262366980996,0.03590348174225691,0.001667837339810525,0.8933435011920408,1.0117346784195116,0.06710894117021983,0.14347782883529014,7.081591905755981,7.336113730621023,1.5554927902630762,9.318915853230777,0.36431946566144857,8.833277520416983,0,9.22014674423489,32.56049692024108,47.45813540672288,7.740335918831339,0,0,0,0,0,0,0,0,0,0,0,0
0.01900000000000001,0.020377437329629964,0.03882778974765435,0.002999805220463401,1.07599659383241,1.186341280599393,0.2697018803709907,0.24657673385285447,7.052148040651581,7.951762972848814,2.277361826863657,9.390437547024037,0.4431953315772433,6.579545154132456,0,27.260207810856997,26.166837478941503,71.24226442586944,21.820609596862756,0,0,0,0,0,0,0,0,0,0,0,0
0.02000000000000001,0.020741975725647756,0.03366772458134708,0.004791242242178472,1.010165961450595,0.7398606221646439,0.5612528867823141,0.42676740829160076,5.582573273028748,6.853335437879188,5.795613779114517,13.029281905787418,2.9831797373027755,17.62299073030647,0,47.05114046474282,27.60270469741545,31.476405974701343,11.855060440520697,0,0,0,0,0,0,0,0,0,0,0,0
0.02100000000000001,0.017203402300237935,0.0274686024093131,0.004123692664502087,0.7409365845869211,0.37762009084959,0.43836566610752487,0.3618591682090766,2.951708306556692,7.8944873196228516,4.413777250565858,11.747481259763154,2.662548864129966,5.208771673846938,198.33397617564054,26.486490414047783,17.10792723506599,20.227729215156675,10.560090963659059,0,0,0,11.249287827407063,36.91111079390226,29.190752106118055,49.993030938370005,0,0,0,0,0
0.022000000000000013,0.01373211893995642,0.020580737631222045,0.0036980823132292204,0.5558714900259504,0.3305544629121752,0.6006439222681309,0.35139338445232565,2.717454494668956,7.953969501053696,4.846828360962254,12.532452681398604,3.0315305992155124,8.33593661654999,126.93005823737654,44.079066367844376,24.588790649260908,13.745046683752692,6.935489990503509,0,0,42.71520642300229,5.5739352311154144,18.703895177769347,53.16821162668695,6.963216629518808,0,0,0,0,0
